Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.590156
Vertical Units,V

TIME,CH3
-4.996721e-06,-7.503125e-01
-4.988721e-06,-7.268750e-01
-4.980721e-06,-7.506250e-01
-4.972721e-06,-7.328125e-01
-4.964721e-06,-7.371875e-01
-4.956721e-06,-7.215625e-01
-4.948721e-06,-7.562500e-01
-4.940721e-06,-7.306250e-01
-4.932721e-06,-7.537500e-01
-4.924721e-06,-7.490625e-01
-4.916721e-06,-7.521875e-01
-4.908721e-06,-7.318750e-01
-4.900721e-06,-7.587500e-01
-4.892721e-06,-7.309375e-01
-4.884721e-06,-7.396875e-01
-4.876721e-06,-7.331250e-01
-4.868721e-06,-7.612500e-01
-4.860721e-06,-7.293750e-01
-4.852721e-06,-7.593750e-01
-4.844721e-06,-7.318750e-01
-4.836721e-06,-7.484375e-01
-4.828721e-06,-7.268750e-01
-4.820721e-06,-7.440625e-01
-4.812721e-06,-7.334375e-01
-4.804721e-06,-7.593750e-01
-4.796721e-06,-7.359375e-01
-4.788721e-06,-7.409375e-01
-4.780721e-06,-7.262500e-01
-4.772721e-06,-7.443750e-01
-4.764721e-06,-7.306250e-01
-4.756721e-06,-7.340625e-01
-4.748721e-06,-7.250000e-01
-4.740721e-06,-7.471875e-01
-4.732721e-06,-7.318750e-01
-4.724721e-06,-7.525000e-01
-4.716721e-06,-7.306250e-01
-4.708721e-06,-7.543750e-01
-4.700721e-06,-7.300000e-01
-4.692721e-06,-7.587500e-01
-4.684721e-06,-7.484375e-01
-4.676721e-06,-7.390625e-01
-4.668721e-06,-7.518750e-01
-4.660721e-06,-7.528125e-01
-4.652721e-06,-7.250000e-01
-4.644721e-06,-7.434375e-01
-4.636721e-06,-7.256250e-01
-4.628721e-06,-7.400000e-01
-4.620721e-06,-7.293750e-01
-4.612721e-06,-7.581250e-01
-4.604721e-06,-7.346875e-01
-4.596721e-06,-7.471875e-01
-4.588721e-06,-7.271875e-01
-4.580721e-06,-7.375000e-01
-4.572721e-06,-7.271875e-01
-4.564721e-06,-7.487500e-01
-4.556721e-06,-7.334375e-01
-4.548721e-06,-7.396875e-01
-4.540721e-06,-7.275000e-01
-4.532721e-06,-7.546875e-01
-4.524721e-06,-7.278125e-01
-4.516721e-06,-7.390625e-01
-4.508721e-06,-7.312500e-01
-4.500721e-06,-7.456250e-01
-4.492721e-06,-7.368750e-01
-4.484721e-06,-7.512500e-01
-4.476721e-06,-7.221875e-01
-4.468721e-06,-7.459375e-01
-4.460721e-06,-7.334375e-01
-4.452721e-06,-7.418750e-01
-4.444721e-06,-7.250000e-01
-4.436721e-06,-7.393750e-01
-4.428721e-06,-7.415625e-01
-4.420721e-06,-7.446875e-01
-4.412721e-06,-7.325000e-01
-4.404721e-06,-7.534375e-01
-4.396721e-06,-7.293750e-01
-4.388721e-06,-7.468750e-01
-4.380721e-06,-7.278125e-01
-4.372721e-06,-7.296875e-01
-4.364721e-06,-7.356250e-01
-4.356721e-06,-7.531250e-01
-4.348721e-06,-7.281250e-01
-4.340721e-06,-7.493750e-01
-4.332721e-06,-7.206250e-01
-4.324721e-06,-7.343750e-01
-4.316721e-06,-7.165625e-01
-4.308721e-06,-7.368750e-01
-4.300721e-06,-7.300000e-01
-4.292721e-06,-7.381250e-01
-4.284721e-06,-7.512500e-01
-4.276721e-06,-7.462500e-01
-4.268721e-06,-7.337500e-01
-4.260721e-06,-7.440625e-01
-4.252721e-06,-7.362500e-01
-4.244721e-06,-7.434375e-01
-4.236721e-06,-7.187500e-01
-4.228721e-06,-7.484375e-01
-4.220721e-06,-7.350000e-01
-4.212721e-06,-7.484375e-01
-4.204721e-06,-7.353125e-01
-4.196721e-06,-7.487500e-01
-4.188721e-06,-7.237500e-01
-4.180721e-06,-7.456250e-01
-4.172721e-06,-7.400000e-01
-4.164721e-06,-7.471875e-01
-4.156721e-06,-7.337500e-01
-4.148721e-06,-7.656250e-01
-4.140721e-06,-7.259375e-01
-4.132721e-06,-7.481250e-01
-4.124721e-06,-7.240625e-01
-4.116721e-06,-7.512500e-01
-4.108721e-06,-7.400000e-01
-4.100721e-06,-7.565625e-01
-4.092721e-06,-7.371875e-01
-4.084721e-06,-7.506250e-01
-4.076721e-06,-7.268750e-01
-4.068721e-06,-7.506250e-01
-4.060721e-06,-7.212500e-01
-4.052721e-06,-7.531250e-01
-4.044721e-06,-7.475000e-01
-4.036721e-06,-7.456250e-01
-4.028721e-06,-7.303125e-01
-4.020721e-06,-7.478125e-01
-4.012721e-06,-7.475000e-01
-4.004721e-06,-7.503125e-01
-3.996721e-06,-7.343750e-01
-3.988721e-06,-7.428125e-01
-3.980721e-06,-7.228125e-01
-3.972721e-06,-7.609375e-01
-3.964721e-06,-7.350000e-01
-3.956721e-06,-7.521875e-01
-3.948721e-06,-7.296875e-01
-3.940721e-06,-7.400000e-01
-3.932721e-06,-7.246875e-01
-3.924721e-06,-7.500000e-01
-3.916721e-06,-7.340625e-01
-3.908721e-06,-7.525000e-01
-3.900721e-06,-7.321875e-01
-3.892721e-06,-7.640625e-01
-3.884721e-06,-7.262500e-01
-3.876721e-06,-7.556250e-01
-3.868721e-06,-7.428125e-01
-3.860721e-06,-7.487500e-01
