Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.935156
Vertical Units,V

TIME,CH3
-4.999481e-06,-7.071875e-01
-4.991481e-06,-7.350000e-01
-4.983481e-06,-7.312500e-01
-4.975481e-06,-7.456250e-01
-4.967481e-06,-7.381250e-01
-4.959481e-06,-7.581250e-01
-4.951481e-06,-7.228125e-01
-4.943481e-06,-7.462500e-01
-4.935481e-06,-7.328125e-01
-4.927481e-06,-7.384375e-01
-4.919481e-06,-7.350000e-01
-4.911481e-06,-7.431250e-01
-4.903481e-06,-7.293750e-01
-4.895481e-06,-7.556250e-01
-4.887481e-06,-7.331250e-01
-4.879481e-06,-7.487500e-01
-4.871481e-06,-7.218750e-01
-4.863481e-06,-7.550000e-01
-4.855481e-06,-7.318750e-01
-4.847481e-06,-7.375000e-01
-4.839481e-06,-7.271875e-01
-4.831481e-06,-7.600000e-01
-4.823481e-06,-7.243750e-01
-4.815481e-06,-7.428125e-01
-4.807481e-06,-7.190625e-01
-4.799481e-06,-7.268750e-01
-4.791481e-06,-7.268750e-01
-4.783481e-06,-7.421875e-01
-4.775481e-06,-7.381250e-01
-4.767481e-06,-7.428125e-01
-4.759481e-06,-7.225000e-01
-4.751481e-06,-7.468750e-01
-4.743481e-06,-7.268750e-01
-4.735481e-06,-7.581250e-01
-4.727481e-06,-7.275000e-01
-4.719481e-06,-7.403125e-01
-4.711481e-06,-7.309375e-01
-4.703481e-06,-7.590625e-01
-4.695481e-06,-7.268750e-01
-4.687481e-06,-7.456250e-01
-4.679481e-06,-7.246875e-01
-4.671481e-06,-7.468750e-01
-4.663481e-06,-7.237500e-01
-4.655481e-06,-7.493750e-01
-4.647481e-06,-7.306250e-01
-4.639481e-06,-7.393750e-01
-4.631481e-06,-7.312500e-01
-4.623481e-06,-7.556250e-01
-4.615481e-06,-7.215625e-01
-4.607481e-06,-7.321875e-01
-4.599481e-06,-7.475000e-01
-4.591481e-06,-7.390625e-01
-4.583481e-06,-7.362500e-01
-4.575481e-06,-7.428125e-01
-4.567481e-06,-7.262500e-01
-4.559481e-06,-7.450000e-01
-4.551481e-06,-7.237500e-01
-4.543481e-06,-7.309375e-01
-4.535481e-06,-7.325000e-01
-4.527481e-06,-7.465625e-01
-4.519481e-06,-7.393750e-01
-4.511481e-06,-7.484375e-01
-4.503481e-06,-7.300000e-01
-4.495481e-06,-7.481250e-01
-4.487481e-06,-7.350000e-01
-4.479481e-06,-7.343750e-01
-4.471481e-06,-7.343750e-01
-4.463481e-06,-7.475000e-01
-4.455481e-06,-7.406250e-01
-4.447481e-06,-7.531250e-01
-4.439481e-06,-7.243750e-01
-4.431481e-06,-7.550000e-01
-4.423481e-06,-7.143750e-01
-4.415481e-06,-7.453125e-01
-4.407481e-06,-7.331250e-01
-4.399481e-06,-7.493750e-01
-4.391481e-06,-7.306250e-01
-4.383481e-06,-7.471875e-01
-4.375481e-06,-7.256250e-01
-4.367481e-06,-7.496875e-01
-4.359481e-06,-7.287500e-01
-4.351481e-06,-7.575000e-01
-4.343481e-06,-7.421875e-01
-4.335481e-06,-7.531250e-01
-4.327481e-06,-7.309375e-01
-4.319481e-06,-7.568750e-01
-4.311481e-06,-7.240625e-01
-4.303481e-06,-7.415625e-01
-4.295481e-06,-7.293750e-01
-4.287481e-06,-7.368750e-01
-4.279481e-06,-7.325000e-01
-4.271481e-06,-7.581250e-01
-4.263481e-06,-7.287500e-01
-4.255481e-06,-7.428125e-01
-4.247481e-06,-7.221875e-01
-4.239481e-06,-7.331250e-01
-4.231481e-06,-7.225000e-01
-4.223481e-06,-7.440625e-01
-4.215481e-06,-7.315625e-01
-4.207481e-06,-7.446875e-01
-4.199481e-06,-7.350000e-01
-4.191481e-06,-7.478125e-01
-4.183481e-06,-7.237500e-01
-4.175481e-06,-7.534375e-01
-4.167481e-06,-7.293750e-01
-4.159481e-06,-7.353125e-01
-4.151481e-06,-7.296875e-01
-4.143481e-06,-7.506250e-01
-4.135481e-06,-7.262500e-01
-4.127481e-06,-7.525000e-01
-4.119481e-06,-7.246875e-01
-4.111481e-06,-7.443750e-01
-4.103481e-06,-7.096875e-01
-4.095481e-06,-7.456250e-01
-4.087481e-06,-7.300000e-01
-4.079481e-06,-7.525000e-01
-4.071481e-06,-7.390625e-01
-4.063481e-06,-7.506250e-01
-4.055481e-06,-7.221875e-01
-4.047481e-06,-7.337500e-01
-4.039481e-06,-7.328125e-01
-4.031481e-06,-7.475000e-01
-4.023481e-06,-7.203125e-01
-4.015481e-06,-7.440625e-01
-4.007481e-06,-7.153125e-01
-3.999481e-06,-7.506250e-01
-3.991481e-06,-7.334375e-01
-3.983481e-06,-7.418750e-01
-3.975481e-06,-7.331250e-01
-3.967481e-06,-7.393750e-01
-3.959481e-06,-7.415625e-01
-3.951481e-06,-7.434375e-01
-3.943481e-06,-7.437500e-01
-3.935481e-06,-7.490625e-01
-3.927481e-06,-7.243750e-01
-3.919481e-06,-7.587500e-01
-3.911481e-06,-7.268750e-01
-3.903481e-06,-7.346875e-01
-3.895481e-06,-7.384375e-01
-3.887481e-06,-7.534375e-01
-3.879481e-06,-7.381250e-01
-3.871481e-06,-7.428125e-01
-3.863481e-06,-7.256250e-01
