Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.895156
Vertical Units,V

TIME,CH3
-4.999161e-06,-7.643750e-01
-4.991161e-06,-7.421875e-01
-4.983161e-06,-7.559375e-01
-4.975161e-06,-7.350000e-01
-4.967161e-06,-7.506250e-01
-4.959161e-06,-7.271875e-01
-4.951161e-06,-7.437500e-01
-4.943161e-06,-7.303125e-01
-4.935161e-06,-7.493750e-01
-4.927161e-06,-7.237500e-01
-4.919161e-06,-7.487500e-01
-4.911161e-06,-7.237500e-01
-4.903161e-06,-7.365625e-01
-4.895161e-06,-7.346875e-01
-4.887161e-06,-7.490625e-01
-4.879161e-06,-7.253125e-01
-4.871161e-06,-7.409375e-01
-4.863161e-06,-7.400000e-01
-4.855161e-06,-7.487500e-01
-4.847161e-06,-7.393750e-01
-4.839161e-06,-7.453125e-01
-4.831161e-06,-7.368750e-01
-4.823161e-06,-7.331250e-01
-4.815161e-06,-7.303125e-01
-4.807161e-06,-7.406250e-01
-4.799161e-06,-7.318750e-01
-4.791161e-06,-7.550000e-01
-4.783161e-06,-7.331250e-01
-4.775161e-06,-7.387500e-01
-4.767161e-06,-7.321875e-01
-4.759161e-06,-7.396875e-01
-4.751161e-06,-7.184375e-01
-4.743161e-06,-7.478125e-01
-4.735161e-06,-7.418750e-01
-4.727161e-06,-7.378125e-01
-4.719161e-06,-7.387500e-01
-4.711161e-06,-7.603125e-01
-4.703161e-06,-7.306250e-01
-4.695161e-06,-7.434375e-01
-4.687161e-06,-7.240625e-01
-4.679161e-06,-7.475000e-01
-4.671161e-06,-7.225000e-01
-4.663161e-06,-7.478125e-01
-4.655161e-06,-7.209375e-01
-4.647161e-06,-7.471875e-01
-4.639161e-06,-7.331250e-01
-4.631161e-06,-7.431250e-01
-4.623161e-06,-7.215625e-01
-4.615161e-06,-7.387500e-01
-4.607161e-06,-7.475000e-01
-4.599161e-06,-7.456250e-01
-4.591161e-06,-7.356250e-01
-4.583161e-06,-7.568750e-01
-4.575161e-06,-7.184375e-01
-4.567161e-06,-7.337500e-01
-4.559161e-06,-7.231250e-01
-4.551161e-06,-7.350000e-01
-4.543161e-06,-7.212500e-01
-4.535161e-06,-7.562500e-01
-4.527161e-06,-7.396875e-01
-4.519161e-06,-7.490625e-01
-4.511161e-06,-7.312500e-01
-4.503161e-06,-7.362500e-01
-4.495161e-06,-7.181250e-01
-4.487161e-06,-7.437500e-01
-4.479161e-06,-7.318750e-01
-4.471161e-06,-7.481250e-01
-4.463161e-06,-7.484375e-01
-4.455161e-06,-7.490625e-01
-4.447161e-06,-7.375000e-01
-4.439161e-06,-7.559375e-01
-4.431161e-06,-7.271875e-01
-4.423161e-06,-7.487500e-01
-4.415161e-06,-7.225000e-01
-4.407161e-06,-7.453125e-01
-4.399161e-06,-7.312500e-01
-4.391161e-06,-7.428125e-01
-4.383161e-06,-7.262500e-01
-4.375161e-06,-7.503125e-01
-4.367161e-06,-7.262500e-01
-4.359161e-06,-7.475000e-01
-4.351161e-06,-7.481250e-01
-4.343161e-06,-7.378125e-01
-4.335161e-06,-7.287500e-01
-4.327161e-06,-7.575000e-01
-4.319161e-06,-7.321875e-01
-4.311161e-06,-7.481250e-01
-4.303161e-06,-7.318750e-01
-4.295161e-06,-7.421875e-01
-4.287161e-06,-7.387500e-01
-4.279161e-06,-7.578125e-01
-4.271161e-06,-7.318750e-01
-4.263161e-06,-7.478125e-01
-4.255161e-06,-7.240625e-01
-4.247161e-06,-7.537500e-01
-4.239161e-06,-7.209375e-01
-4.231161e-06,-7.525000e-01
-4.223161e-06,-7.362500e-01
-4.215161e-06,-7.518750e-01
-4.207161e-06,-7.356250e-01
-4.199161e-06,-7.421875e-01
-4.191161e-06,-7.278125e-01
-4.183161e-06,-7.481250e-01
-4.175161e-06,-7.121875e-01
-4.167161e-06,-7.440625e-01
-4.159161e-06,-7.250000e-01
-4.151161e-06,-7.462500e-01
-4.143161e-06,-7.284375e-01
-4.135161e-06,-7.487500e-01
-4.127161e-06,-7.284375e-01
-4.119161e-06,-7.468750e-01
-4.111161e-06,-7.271875e-01
-4.103161e-06,-7.450000e-01
-4.095161e-06,-7.346875e-01
-4.087161e-06,-7.446875e-01
-4.079161e-06,-7.221875e-01
-4.071161e-06,-7.487500e-01
-4.063161e-06,-7.090625e-01
-4.055161e-06,-7.431250e-01
-4.047161e-06,-7.268750e-01
-4.039161e-06,-7.478125e-01
-4.031161e-06,-7.262500e-01
-4.023161e-06,-7.356250e-01
-4.015161e-06,-7.250000e-01
-4.007161e-06,-7.362500e-01
-3.999161e-06,-7.250000e-01
-3.991161e-06,-7.462500e-01
-3.983161e-06,-7.143750e-01
-3.975161e-06,-7.456250e-01
-3.967161e-06,-7.312500e-01
-3.959161e-06,-7.493750e-01
-3.951161e-06,-7.321875e-01
-3.943161e-06,-7.387500e-01
-3.935161e-06,-7.268750e-01
-3.927161e-06,-7.362500e-01
-3.919161e-06,-7.206250e-01
-3.911161e-06,-7.343750e-01
-3.903161e-06,-7.331250e-01
-3.895161e-06,-7.275000e-01
-3.887161e-06,-7.237500e-01
-3.879161e-06,-7.540625e-01
-3.871161e-06,-7.215625e-01
-3.863161e-06,-7.493750e-01
