Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.127656
Vertical Units,V

TIME,CH1
-4.993021e-06,-3.000000e-02
-4.985021e-06,2.500000e-02
-4.977021e-06,-1.875000e-02
-4.969021e-06,6.250000e-03
-4.961021e-06,1.250000e-02
-4.953021e-06,1.375000e-02
-4.945021e-06,-7.500000e-03
-4.937021e-06,2.250000e-02
-4.929021e-06,1.000000e-02
-4.921021e-06,2.500000e-02
-4.913021e-06,1.250000e-02
-4.905021e-06,2.125000e-02
-4.897021e-06,-2.250000e-02
-4.889021e-06,1.375000e-02
-4.881021e-06,-7.500000e-03
-4.873021e-06,4.000000e-02
-4.865021e-06,-1.500000e-02
-4.857021e-06,1.875000e-02
-4.849021e-06,1.125000e-02
-4.841021e-06,8.750000e-03
-4.833021e-06,-5.000000e-03
-4.825021e-06,-2.500000e-03
-4.817021e-06,-2.375000e-02
-4.809021e-06,8.750000e-03
-4.801021e-06,2.500000e-03
-4.793021e-06,1.750000e-02
-4.785021e-06,-3.250000e-02
-4.777021e-06,8.750000e-03
-4.769021e-06,-2.500000e-03
-4.761021e-06,6.250000e-03
-4.753021e-06,-6.250000e-03
-4.745021e-06,3.125000e-02
-4.737021e-06,-1.250000e-03
-4.729021e-06,1.750000e-02
-4.721021e-06,-8.750000e-03
-4.713021e-06,1.125000e-02
-4.705021e-06,-3.000000e-02
-4.697021e-06,-8.750000e-03
-4.689021e-06,-2.625000e-02
-4.681021e-06,-3.750000e-03
-4.673021e-06,-1.500000e-02
-4.665021e-06,4.500000e-02
-4.657021e-06,-2.500000e-02
-4.649021e-06,2.875000e-02
-4.641021e-06,-2.625000e-02
-4.633021e-06,6.250000e-03
-4.625021e-06,-1.875000e-02
-4.617021e-06,3.125000e-02
-4.609021e-06,-2.625000e-02
-4.601021e-06,5.000000e-03
-4.593021e-06,-1.000000e-02
-4.585021e-06,1.625000e-02
-4.577021e-06,-2.750000e-02
-4.569021e-06,1.125000e-02
-4.561021e-06,-2.125000e-02
-4.553021e-06,2.500000e-03
-4.545021e-06,-2.750000e-02
-4.537021e-06,3.375000e-02
-4.529021e-06,-1.250000e-03
-4.521021e-06,1.750000e-02
-4.513021e-06,-1.000000e-02
-4.505021e-06,-7.500000e-03
-4.497021e-06,-1.625000e-02
-4.489021e-06,-5.000000e-03
-4.481021e-06,-4.125000e-02
-4.473021e-06,3.875000e-02
-4.465021e-06,1.250000e-03
-4.457021e-06,-3.750000e-03
-4.449021e-06,-1.500000e-02
-4.441021e-06,1.750000e-02
-4.433021e-06,-1.500000e-02
-4.425021e-06,1.250000e-02
-4.417021e-06,-5.000000e-03
-4.409021e-06,2.000000e-02
-4.401021e-06,6.250000e-03
-4.393021e-06,1.875000e-02
-4.385021e-06,-2.250000e-02
-4.377021e-06,1.250000e-02
-4.369021e-06,-2.500000e-02
-4.361021e-06,3.750000e-03
-4.353021e-06,-2.500000e-02
-4.345021e-06,7.500000e-03
-4.337021e-06,-1.500000e-02
-4.329021e-06,6.250000e-03
-4.321021e-06,-2.250000e-02
-4.313021e-06,1.750000e-02
-4.305021e-06,-2.000000e-02
-4.297021e-06,3.000000e-02
-4.289021e-06,2.500000e-03
-4.281021e-06,2.250000e-02
-4.273021e-06,-6.250000e-03
-4.265021e-06,2.750000e-02
-4.257021e-06,-2.500000e-03
-4.249021e-06,2.125000e-02
-4.241021e-06,-1.375000e-02
-4.233021e-06,1.250000e-02
-4.225021e-06,-8.750000e-03
-4.217021e-06,7.500000e-03
-4.209021e-06,-1.250000e-03
-4.201021e-06,5.000000e-03
-4.193021e-06,-3.250000e-02
-4.185021e-06,8.750000e-03
-4.177021e-06,-1.000000e-02
-4.169021e-06,3.125000e-02
-4.161021e-06,1.250000e-03
-4.153021e-06,-3.750000e-03
-4.145021e-06,2.500000e-03
-4.137021e-06,6.250000e-03
-4.129021e-06,-1.000000e-02
-4.121021e-06,1.250000e-02
-4.113021e-06,-5.000000e-03
-4.105021e-06,3.500000e-02
-4.097021e-06,-1.125000e-02
-4.089021e-06,1.875000e-02
-4.081021e-06,-1.250000e-02
-4.073021e-06,6.250000e-03
-4.065021e-06,-1.250000e-02
-4.057021e-06,-1.375000e-02
-4.049021e-06,-1.625000e-02
-4.041021e-06,1.375000e-02
-4.033021e-06,-1.500000e-02
-4.025021e-06,1.875000e-02
-4.017021e-06,-1.500000e-02
-4.009021e-06,1.875000e-02
-4.001021e-06,-1.500000e-02
-3.993021e-06,2.250000e-02
-3.985021e-06,-4.625000e-02
-3.977021e-06,5.000000e-03
-3.969021e-06,-2.000000e-02
-3.961021e-06,4.375000e-02
-3.953021e-06,-1.500000e-02
-3.945021e-06,1.250000e-02
-3.937021e-06,-1.500000e-02
-3.929021e-06,1.500000e-02
-3.921021e-06,-2.125000e-02
-3.913021e-06,1.000000e-02
-3.905021e-06,1.625000e-02
-3.897021e-06,1.500000e-02
-3.889021e-06,0.000000e+00
-3.881021e-06,1.000000e-02
-3.873021e-06,-7.500000e-03
-3.865021e-06,2.500000e-02
-3.857021e-06,-1.250000e-02
-3.849021e-06,5.000000e-03
-3.841021e-06,-2.500000e-03
-3.833021e-06,2.000000e-02
-3.825021e-06,-1.125000e-02
