Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.125156
Vertical Units,V

TIME,CH3
-4.993001e-06,-7.256250e-01
-4.985001e-06,-7.450000e-01
-4.977001e-06,-7.306250e-01
-4.969001e-06,-7.603125e-01
-4.961001e-06,-7.243750e-01
-4.953001e-06,-7.468750e-01
-4.945001e-06,-7.106250e-01
-4.937001e-06,-7.393750e-01
-4.929001e-06,-7.337500e-01
-4.921001e-06,-7.503125e-01
-4.913001e-06,-7.368750e-01
-4.905001e-06,-7.493750e-01
-4.897001e-06,-7.228125e-01
-4.889001e-06,-7.478125e-01
-4.881001e-06,-7.321875e-01
-4.873001e-06,-7.421875e-01
-4.865001e-06,-7.337500e-01
-4.857001e-06,-7.575000e-01
-4.849001e-06,-7.340625e-01
-4.841001e-06,-7.384375e-01
-4.833001e-06,-7.284375e-01
-4.825001e-06,-7.396875e-01
-4.817001e-06,-7.225000e-01
-4.809001e-06,-7.550000e-01
-4.801001e-06,-7.362500e-01
-4.793001e-06,-7.500000e-01
-4.785001e-06,-7.371875e-01
-4.777001e-06,-7.553125e-01
-4.769001e-06,-7.350000e-01
-4.761001e-06,-7.428125e-01
-4.753001e-06,-7.390625e-01
-4.745001e-06,-7.409375e-01
-4.737001e-06,-7.300000e-01
-4.729001e-06,-7.437500e-01
-4.721001e-06,-7.287500e-01
-4.713001e-06,-7.512500e-01
-4.705001e-06,-7.137500e-01
-4.697001e-06,-7.512500e-01
-4.689001e-06,-7.268750e-01
-4.681001e-06,-7.421875e-01
-4.673001e-06,-7.278125e-01
-4.665001e-06,-7.478125e-01
-4.657001e-06,-7.362500e-01
-4.649001e-06,-7.506250e-01
-4.641001e-06,-7.353125e-01
-4.633001e-06,-7.443750e-01
-4.625001e-06,-7.293750e-01
-4.617001e-06,-7.421875e-01
-4.609001e-06,-7.243750e-01
-4.601001e-06,-7.525000e-01
-4.593001e-06,-7.343750e-01
-4.585001e-06,-7.471875e-01
-4.577001e-06,-7.118750e-01
-4.569001e-06,-7.387500e-01
-4.561001e-06,-7.253125e-01
-4.553001e-06,-7.375000e-01
-4.545001e-06,-7.396875e-01
-4.537001e-06,-7.343750e-01
-4.529001e-06,-7.362500e-01
-4.521001e-06,-7.496875e-01
-4.513001e-06,-7.387500e-01
-4.505001e-06,-7.356250e-01
-4.497001e-06,-7.343750e-01
-4.489001e-06,-7.462500e-01
-4.481001e-06,-7.271875e-01
-4.473001e-06,-7.478125e-01
-4.465001e-06,-7.400000e-01
-4.457001e-06,-7.509375e-01
-4.449001e-06,-7.290625e-01
-4.441001e-06,-7.462500e-01
-4.433001e-06,-7.237500e-01
-4.425001e-06,-7.487500e-01
-4.417001e-06,-7.281250e-01
-4.409001e-06,-7.537500e-01
-4.401001e-06,-7.453125e-01
-4.393001e-06,-7.503125e-01
-4.385001e-06,-7.240625e-01
-4.377001e-06,-7.493750e-01
-4.369001e-06,-7.290625e-01
-4.361001e-06,-7.334375e-01
-4.353001e-06,-7.325000e-01
-4.345001e-06,-7.468750e-01
-4.337001e-06,-7.356250e-01
-4.329001e-06,-7.468750e-01
-4.321001e-06,-7.150000e-01
-4.313001e-06,-7.575000e-01
-4.305001e-06,-7.340625e-01
-4.297001e-06,-7.459375e-01
-4.289001e-06,-7.231250e-01
-4.281001e-06,-7.587500e-01
-4.273001e-06,-7.471875e-01
-4.265001e-06,-7.615625e-01
-4.257001e-06,-7.240625e-01
-4.249001e-06,-7.415625e-01
-4.241001e-06,-7.262500e-01
-4.233001e-06,-7.390625e-01
-4.225001e-06,-7.300000e-01
-4.217001e-06,-7.534375e-01
-4.209001e-06,-7.353125e-01
-4.201001e-06,-7.496875e-01
-4.193001e-06,-7.278125e-01
-4.185001e-06,-7.325000e-01
-4.177001e-06,-7.287500e-01
-4.169001e-06,-7.515625e-01
-4.161001e-06,-7.325000e-01
-4.153001e-06,-7.368750e-01
-4.145001e-06,-7.325000e-01
-4.137001e-06,-7.525000e-01
-4.129001e-06,-7.303125e-01
-4.121001e-06,-7.387500e-01
-4.113001e-06,-7.234375e-01
-4.105001e-06,-7.437500e-01
-4.097001e-06,-7.381250e-01
-4.089001e-06,-7.403125e-01
-4.081001e-06,-7.215625e-01
-4.073001e-06,-7.437500e-01
-4.065001e-06,-7.262500e-01
-4.057001e-06,-7.312500e-01
-4.049001e-06,-7.178125e-01
-4.041001e-06,-7.506250e-01
-4.033001e-06,-7.343750e-01
-4.025001e-06,-7.381250e-01
-4.017001e-06,-7.393750e-01
-4.009001e-06,-7.350000e-01
-4.001001e-06,-7.256250e-01
-3.993001e-06,-7.468750e-01
-3.985001e-06,-7.325000e-01
-3.977001e-06,-7.428125e-01
-3.969001e-06,-7.353125e-01
-3.961001e-06,-7.487500e-01
-3.953001e-06,-7.400000e-01
-3.945001e-06,-7.490625e-01
-3.937001e-06,-7.331250e-01
-3.929001e-06,-7.356250e-01
-3.921001e-06,-7.265625e-01
-3.913001e-06,-7.453125e-01
-3.905001e-06,-7.365625e-01
-3.897001e-06,-7.481250e-01
-3.889001e-06,-7.425000e-01
-3.881001e-06,-7.625000e-01
-3.873001e-06,-7.278125e-01
-3.865001e-06,-7.481250e-01
-3.857001e-06,-7.259375e-01
