Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.530000
Vertical Units,V

TIME,CH3
-4.996240e-06,-7.287500e-01
-4.988240e-06,-7.571875e-01
-4.980240e-06,-7.237500e-01
-4.972240e-06,-7.521875e-01
-4.964240e-06,-7.293750e-01
-4.956240e-06,-7.471875e-01
-4.948240e-06,-7.200000e-01
-4.940240e-06,-7.425000e-01
-4.932240e-06,-7.415625e-01
-4.924240e-06,-7.534375e-01
-4.916240e-06,-7.496875e-01
-4.908240e-06,-7.546875e-01
-4.900240e-06,-7.346875e-01
-4.892240e-06,-7.421875e-01
-4.884240e-06,-7.312500e-01
-4.876240e-06,-7.543750e-01
-4.868240e-06,-7.362500e-01
-4.860240e-06,-7.478125e-01
-4.852240e-06,-7.375000e-01
-4.844240e-06,-7.562500e-01
-4.836240e-06,-7.421875e-01
-4.828240e-06,-7.462500e-01
-4.820240e-06,-7.068750e-01
-4.812240e-06,-7.431250e-01
-4.804240e-06,-7.453125e-01
-4.796240e-06,-7.484375e-01
-4.788240e-06,-7.465625e-01
-4.780240e-06,-7.584375e-01
-4.772240e-06,-7.309375e-01
-4.764240e-06,-7.362500e-01
-4.756240e-06,-7.278125e-01
-4.748240e-06,-7.465625e-01
-4.740240e-06,-7.337500e-01
-4.732240e-06,-7.550000e-01
-4.724240e-06,-7.356250e-01
-4.716240e-06,-7.556250e-01
-4.708240e-06,-7.434375e-01
-4.700240e-06,-7.534375e-01
-4.692240e-06,-7.281250e-01
-4.684240e-06,-7.518750e-01
-4.676240e-06,-7.337500e-01
-4.668240e-06,-7.459375e-01
-4.660240e-06,-7.431250e-01
-4.652240e-06,-7.534375e-01
-4.644240e-06,-7.259375e-01
-4.636240e-06,-7.615625e-01
-4.628240e-06,-7.165625e-01
-4.620240e-06,-7.384375e-01
-4.612240e-06,-7.328125e-01
-4.604240e-06,-7.656250e-01
-4.596240e-06,-7.362500e-01
-4.588240e-06,-7.478125e-01
-4.580240e-06,-7.306250e-01
-4.572240e-06,-7.462500e-01
-4.564240e-06,-7.275000e-01
-4.556240e-06,-7.687500e-01
-4.548240e-06,-7.468750e-01
-4.540240e-06,-7.600000e-01
-4.532240e-06,-7.365625e-01
-4.524240e-06,-7.621875e-01
-4.516240e-06,-7.343750e-01
-4.508240e-06,-7.540625e-01
-4.500240e-06,-7.293750e-01
-4.492240e-06,-7.465625e-01
-4.484240e-06,-7.306250e-01
-4.476240e-06,-7.506250e-01
-4.468240e-06,-7.306250e-01
-4.460240e-06,-7.640625e-01
-4.452240e-06,-7.387500e-01
-4.444240e-06,-7.484375e-01
-4.436240e-06,-7.209375e-01
-4.428240e-06,-7.550000e-01
-4.420240e-06,-7.368750e-01
-4.412240e-06,-7.593750e-01
-4.404240e-06,-7.350000e-01
-4.396240e-06,-7.606250e-01
-4.388240e-06,-7.303125e-01
-4.380240e-06,-7.484375e-01
-4.372240e-06,-7.268750e-01
-4.364240e-06,-7.440625e-01
-4.356240e-06,-7.306250e-01
-4.348240e-06,-7.518750e-01
-4.340240e-06,-7.337500e-01
-4.332240e-06,-7.562500e-01
-4.324240e-06,-7.321875e-01
-4.316240e-06,-7.381250e-01
-4.308240e-06,-7.225000e-01
-4.300240e-06,-7.465625e-01
-4.292240e-06,-7.406250e-01
-4.284240e-06,-7.537500e-01
-4.276240e-06,-7.393750e-01
-4.268240e-06,-7.540625e-01
-4.260240e-06,-7.265625e-01
-4.252240e-06,-7.481250e-01
-4.244240e-06,-7.315625e-01
-4.236240e-06,-7.375000e-01
-4.228240e-06,-7.293750e-01
-4.220240e-06,-7.500000e-01
-4.212240e-06,-7.256250e-01
-4.204240e-06,-7.618750e-01
-4.196240e-06,-7.303125e-01
-4.188240e-06,-7.431250e-01
-4.180240e-06,-7.203125e-01
-4.172240e-06,-7.531250e-01
-4.164240e-06,-7.387500e-01
-4.156240e-06,-7.465625e-01
-4.148240e-06,-7.459375e-01
-4.140240e-06,-7.575000e-01
-4.132240e-06,-7.321875e-01
-4.124240e-06,-7.525000e-01
-4.116240e-06,-7.290625e-01
-4.108240e-06,-7.412500e-01
-4.100240e-06,-7.415625e-01
-4.092240e-06,-7.578125e-01
-4.084240e-06,-7.275000e-01
-4.076240e-06,-7.612500e-01
-4.068240e-06,-7.318750e-01
-4.060240e-06,-7.437500e-01
-4.052240e-06,-7.184375e-01
-4.044240e-06,-7.425000e-01
-4.036240e-06,-7.393750e-01
-4.028240e-06,-7.506250e-01
-4.020240e-06,-7.387500e-01
-4.012240e-06,-7.546875e-01
-4.004240e-06,-7.259375e-01
-3.996240e-06,-7.521875e-01
-3.988240e-06,-7.303125e-01
-3.980240e-06,-7.500000e-01
-3.972240e-06,-7.331250e-01
-3.964240e-06,-7.540625e-01
-3.956240e-06,-7.275000e-01
-3.948240e-06,-7.546875e-01
-3.940240e-06,-7.321875e-01
-3.932240e-06,-7.440625e-01
-3.924240e-06,-7.109375e-01
-3.916240e-06,-7.459375e-01
-3.908240e-06,-7.396875e-01
-3.900240e-06,-7.500000e-01
-3.892240e-06,-7.484375e-01
-3.884240e-06,-7.625000e-01
-3.876240e-06,-7.278125e-01
-3.868240e-06,-7.500000e-01
-3.860240e-06,-7.231250e-01
