Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.790156
Vertical Units,V

TIME,CH3
-4.998321e-06,-7.562500e-01
-4.990321e-06,-7.131250e-01
-4.982321e-06,-7.500000e-01
-4.974321e-06,-7.218750e-01
-4.966321e-06,-7.343750e-01
-4.958321e-06,-7.300000e-01
-4.950321e-06,-7.521875e-01
-4.942321e-06,-7.315625e-01
-4.934321e-06,-7.556250e-01
-4.926321e-06,-7.290625e-01
-4.918321e-06,-7.337500e-01
-4.910321e-06,-7.134375e-01
-4.902321e-06,-7.562500e-01
-4.894321e-06,-7.400000e-01
-4.886321e-06,-7.509375e-01
-4.878321e-06,-7.356250e-01
-4.870321e-06,-7.484375e-01
-4.862321e-06,-7.278125e-01
-4.854321e-06,-7.496875e-01
-4.846321e-06,-7.253125e-01
-4.838321e-06,-7.262500e-01
-4.830321e-06,-7.256250e-01
-4.822321e-06,-7.300000e-01
-4.814321e-06,-7.225000e-01
-4.806321e-06,-7.346875e-01
-4.798321e-06,-7.425000e-01
-4.790321e-06,-7.443750e-01
-4.782321e-06,-7.175000e-01
-4.774321e-06,-7.293750e-01
-4.766321e-06,-7.365625e-01
-4.758321e-06,-7.378125e-01
-4.750321e-06,-7.331250e-01
-4.742321e-06,-7.587500e-01
-4.734321e-06,-7.250000e-01
-4.726321e-06,-7.475000e-01
-4.718321e-06,-7.268750e-01
-4.710321e-06,-7.381250e-01
-4.702321e-06,-7.275000e-01
-4.694321e-06,-7.446875e-01
-4.686321e-06,-7.331250e-01
-4.678321e-06,-7.440625e-01
-4.670321e-06,-7.300000e-01
-4.662321e-06,-7.443750e-01
-4.654321e-06,-7.137500e-01
-4.646321e-06,-7.415625e-01
-4.638321e-06,-7.343750e-01
-4.630321e-06,-7.471875e-01
-4.622321e-06,-7.315625e-01
-4.614321e-06,-7.312500e-01
-4.606321e-06,-7.118750e-01
-4.598321e-06,-7.518750e-01
-4.590321e-06,-7.396875e-01
-4.582321e-06,-7.325000e-01
-4.574321e-06,-7.262500e-01
-4.566321e-06,-7.471875e-01
-4.558321e-06,-7.287500e-01
-4.550321e-06,-7.553125e-01
-4.542321e-06,-7.362500e-01
-4.534321e-06,-7.450000e-01
-4.526321e-06,-7.243750e-01
-4.518321e-06,-7.437500e-01
-4.510321e-06,-7.437500e-01
-4.502321e-06,-7.356250e-01
-4.494321e-06,-7.384375e-01
-4.486321e-06,-7.478125e-01
-4.478321e-06,-7.262500e-01
-4.470321e-06,-7.506250e-01
-4.462321e-06,-7.240625e-01
-4.454321e-06,-7.468750e-01
-4.446321e-06,-7.425000e-01
-4.438321e-06,-7.462500e-01
-4.430321e-06,-7.340625e-01
-4.422321e-06,-7.515625e-01
-4.414321e-06,-7.425000e-01
-4.406321e-06,-7.359375e-01
-4.398321e-06,-7.281250e-01
-4.390321e-06,-7.415625e-01
-4.382321e-06,-7.400000e-01
-4.374321e-06,-7.571875e-01
-4.366321e-06,-7.421875e-01
-4.358321e-06,-7.468750e-01
-4.350321e-06,-7.225000e-01
-4.342321e-06,-7.428125e-01
-4.334321e-06,-7.268750e-01
-4.326321e-06,-7.446875e-01
-4.318321e-06,-7.268750e-01
-4.310321e-06,-7.478125e-01
-4.302321e-06,-7.334375e-01
-4.294321e-06,-7.540625e-01
-4.286321e-06,-7.287500e-01
-4.278321e-06,-7.393750e-01
-4.270321e-06,-7.134375e-01
-4.262321e-06,-7.415625e-01
-4.254321e-06,-7.262500e-01
-4.246321e-06,-7.434375e-01
-4.238321e-06,-7.384375e-01
-4.230321e-06,-7.500000e-01
-4.222321e-06,-7.209375e-01
-4.214321e-06,-7.362500e-01
-4.206321e-06,-7.303125e-01
-4.198321e-06,-7.462500e-01
-4.190321e-06,-7.365625e-01
-4.182321e-06,-7.503125e-01
-4.174321e-06,-7.387500e-01
-4.166321e-06,-7.496875e-01
-4.158321e-06,-7.368750e-01
-4.150321e-06,-7.512500e-01
-4.142321e-06,-7.168750e-01
-4.134321e-06,-7.478125e-01
-4.126321e-06,-7.465625e-01
-4.118321e-06,-7.446875e-01
-4.110321e-06,-7.350000e-01
-4.102321e-06,-7.443750e-01
-4.094321e-06,-7.312500e-01
-4.086321e-06,-7.350000e-01
-4.078321e-06,-7.303125e-01
-4.070321e-06,-7.353125e-01
-4.062321e-06,-7.231250e-01
-4.054321e-06,-7.431250e-01
-4.046321e-06,-7.275000e-01
-4.038321e-06,-7.612500e-01
-4.030321e-06,-7.150000e-01
-4.022321e-06,-7.343750e-01
-4.014321e-06,-7.215625e-01
-4.006321e-06,-7.475000e-01
-3.998321e-06,-7.337500e-01
-3.990321e-06,-7.446875e-01
-3.982321e-06,-7.418750e-01
-3.974321e-06,-7.546875e-01
-3.966321e-06,-7.234375e-01
-3.958321e-06,-7.325000e-01
-3.950321e-06,-7.190625e-01
-3.942321e-06,-7.368750e-01
-3.934321e-06,-7.237500e-01
-3.926321e-06,-7.543750e-01
-3.918321e-06,-7.221875e-01
-3.910321e-06,-7.446875e-01
-3.902321e-06,-7.078125e-01
-3.894321e-06,-7.375000e-01
-3.886321e-06,-7.118750e-01
-3.878321e-06,-7.393750e-01
-3.870321e-06,-7.381250e-01
-3.862321e-06,-7.456250e-01
