Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.715156
Vertical Units,V

TIME,CH3
-4.997721e-06,-7.368750e-01
-4.989721e-06,-7.206250e-01
-4.981721e-06,-7.425000e-01
-4.973721e-06,-7.290625e-01
-4.965721e-06,-7.468750e-01
-4.957721e-06,-7.256250e-01
-4.949721e-06,-7.575000e-01
-4.941721e-06,-7.290625e-01
-4.933721e-06,-7.337500e-01
-4.925721e-06,-7.265625e-01
-4.917721e-06,-7.362500e-01
-4.909721e-06,-7.250000e-01
-4.901721e-06,-7.550000e-01
-4.893721e-06,-7.428125e-01
-4.885721e-06,-7.531250e-01
-4.877721e-06,-7.325000e-01
-4.869721e-06,-7.437500e-01
-4.861721e-06,-7.225000e-01
-4.853721e-06,-7.484375e-01
-4.845721e-06,-7.478125e-01
-4.837721e-06,-7.462500e-01
-4.829721e-06,-7.431250e-01
-4.821721e-06,-7.550000e-01
-4.813721e-06,-7.271875e-01
-4.805721e-06,-7.440625e-01
-4.797721e-06,-7.246875e-01
-4.789721e-06,-7.259375e-01
-4.781721e-06,-7.318750e-01
-4.773721e-06,-7.503125e-01
-4.765721e-06,-7.281250e-01
-4.757721e-06,-7.456250e-01
-4.749721e-06,-7.337500e-01
-4.741721e-06,-7.400000e-01
-4.733721e-06,-7.265625e-01
-4.725721e-06,-7.512500e-01
-4.717721e-06,-7.425000e-01
-4.709721e-06,-7.500000e-01
-4.701721e-06,-7.478125e-01
-4.693721e-06,-7.521875e-01
-4.685721e-06,-7.275000e-01
-4.677721e-06,-7.481250e-01
-4.669721e-06,-7.253125e-01
-4.661721e-06,-7.365625e-01
-4.653721e-06,-7.256250e-01
-4.645721e-06,-7.503125e-01
-4.637721e-06,-7.184375e-01
-4.629721e-06,-7.528125e-01
-4.621721e-06,-7.159375e-01
-4.613721e-06,-7.381250e-01
-4.605721e-06,-7.181250e-01
-4.597721e-06,-7.456250e-01
-4.589721e-06,-7.312500e-01
-4.581721e-06,-7.434375e-01
-4.573721e-06,-7.418750e-01
-4.565721e-06,-7.540625e-01
-4.557721e-06,-7.300000e-01
-4.549721e-06,-7.531250e-01
-4.541721e-06,-7.290625e-01
-4.533721e-06,-7.468750e-01
-4.525721e-06,-7.325000e-01
-4.517721e-06,-7.465625e-01
-4.509721e-06,-7.287500e-01
-4.501721e-06,-7.434375e-01
-4.493721e-06,-7.153125e-01
-4.485721e-06,-7.540625e-01
-4.477721e-06,-7.162500e-01
-4.469721e-06,-7.409375e-01
-4.461721e-06,-7.293750e-01
-4.453721e-06,-7.378125e-01
-4.445721e-06,-7.503125e-01
-4.437721e-06,-7.475000e-01
-4.429721e-06,-7.356250e-01
-4.421721e-06,-7.350000e-01
-4.413721e-06,-7.240625e-01
-4.405721e-06,-7.359375e-01
-4.397721e-06,-7.140625e-01
-4.389721e-06,-7.459375e-01
-4.381721e-06,-7.343750e-01
-4.373721e-06,-7.571875e-01
-4.365721e-06,-7.234375e-01
-4.357721e-06,-7.440625e-01
-4.349721e-06,-7.240625e-01
-4.341721e-06,-7.556250e-01
-4.333721e-06,-7.431250e-01
-4.325721e-06,-7.593750e-01
-4.317721e-06,-7.290625e-01
-4.309721e-06,-7.493750e-01
-4.301721e-06,-7.225000e-01
-4.293721e-06,-7.487500e-01
-4.285721e-06,-7.218750e-01
-4.277721e-06,-7.353125e-01
-4.269721e-06,-7.268750e-01
-4.261721e-06,-7.456250e-01
-4.253721e-06,-7.368750e-01
-4.245721e-06,-7.578125e-01
-4.237721e-06,-7.250000e-01
-4.229721e-06,-7.471875e-01
-4.221721e-06,-7.128125e-01
-4.213721e-06,-7.390625e-01
-4.205721e-06,-7.512500e-01
-4.197721e-06,-7.396875e-01
-4.189721e-06,-7.475000e-01
-4.181721e-06,-7.493750e-01
-4.173721e-06,-7.246875e-01
-4.165721e-06,-7.387500e-01
-4.157721e-06,-7.231250e-01
-4.149721e-06,-7.359375e-01
-4.141721e-06,-7.268750e-01
-4.133721e-06,-7.484375e-01
-4.125721e-06,-7.237500e-01
-4.117721e-06,-7.562500e-01
-4.109721e-06,-7.312500e-01
-4.101721e-06,-7.362500e-01
-4.093721e-06,-7.053125e-01
-4.085721e-06,-7.421875e-01
-4.077721e-06,-7.331250e-01
-4.069721e-06,-7.459375e-01
-4.061721e-06,-7.515625e-01
-4.053721e-06,-7.446875e-01
-4.045721e-06,-7.256250e-01
-4.037721e-06,-7.375000e-01
-4.029721e-06,-7.256250e-01
-4.021721e-06,-7.384375e-01
-4.013721e-06,-7.168750e-01
-4.005721e-06,-7.484375e-01
-3.997721e-06,-7.306250e-01
-3.989721e-06,-7.515625e-01
-3.981721e-06,-7.356250e-01
-3.973721e-06,-7.387500e-01
-3.965721e-06,-7.190625e-01
-3.957721e-06,-7.493750e-01
-3.949721e-06,-7.343750e-01
-3.941721e-06,-7.465625e-01
-3.933721e-06,-7.368750e-01
-3.925721e-06,-7.540625e-01
-3.917721e-06,-7.328125e-01
-3.909721e-06,-7.440625e-01
-3.901721e-06,-7.337500e-01
-3.893721e-06,-7.412500e-01
-3.885721e-06,-7.181250e-01
-3.877721e-06,-7.625000e-01
-3.869721e-06,-7.275000e-01
-3.861721e-06,-7.556250e-01
