Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.812656
Vertical Units,V

TIME,CH3
-4.998501e-06,-7.515625e-01
-4.990501e-06,-7.221875e-01
-4.982501e-06,-7.390625e-01
-4.974501e-06,-7.425000e-01
-4.966501e-06,-7.496875e-01
-4.958501e-06,-7.212500e-01
-4.950501e-06,-7.518750e-01
-4.942501e-06,-7.331250e-01
-4.934501e-06,-7.475000e-01
-4.926501e-06,-7.328125e-01
-4.918501e-06,-7.440625e-01
-4.910501e-06,-7.390625e-01
-4.902501e-06,-7.475000e-01
-4.894501e-06,-7.440625e-01
-4.886501e-06,-7.568750e-01
-4.878501e-06,-7.300000e-01
-4.870501e-06,-7.518750e-01
-4.862501e-06,-7.212500e-01
-4.854501e-06,-7.346875e-01
-4.846501e-06,-7.318750e-01
-4.838501e-06,-7.465625e-01
-4.830501e-06,-7.393750e-01
-4.822501e-06,-7.512500e-01
-4.814501e-06,-7.278125e-01
-4.806501e-06,-7.418750e-01
-4.798501e-06,-7.253125e-01
-4.790501e-06,-7.446875e-01
-4.782501e-06,-7.331250e-01
-4.774501e-06,-7.550000e-01
-4.766501e-06,-7.375000e-01
-4.758501e-06,-7.490625e-01
-4.750501e-06,-7.212500e-01
-4.742501e-06,-7.434375e-01
-4.734501e-06,-7.240625e-01
-4.726501e-06,-7.531250e-01
-4.718501e-06,-7.381250e-01
-4.710501e-06,-7.525000e-01
-4.702501e-06,-7.356250e-01
-4.694501e-06,-7.493750e-01
-4.686501e-06,-7.268750e-01
-4.678501e-06,-7.512500e-01
-4.670501e-06,-7.259375e-01
-4.662501e-06,-7.356250e-01
-4.654501e-06,-7.268750e-01
-4.646501e-06,-7.487500e-01
-4.638501e-06,-7.306250e-01
-4.630501e-06,-7.496875e-01
-4.622501e-06,-7.334375e-01
-4.614501e-06,-7.368750e-01
-4.606501e-06,-7.231250e-01
-4.598501e-06,-7.465625e-01
-4.590501e-06,-7.381250e-01
-4.582501e-06,-7.471875e-01
-4.574501e-06,-7.521875e-01
-4.566501e-06,-7.509375e-01
-4.558501e-06,-7.253125e-01
-4.550501e-06,-7.368750e-01
-4.542501e-06,-7.340625e-01
-4.534501e-06,-7.312500e-01
-4.526501e-06,-7.228125e-01
-4.518501e-06,-7.553125e-01
-4.510501e-06,-7.331250e-01
-4.502501e-06,-7.612500e-01
-4.494501e-06,-7.221875e-01
-4.486501e-06,-7.350000e-01
-4.478501e-06,-7.168750e-01
-4.470501e-06,-7.415625e-01
-4.462501e-06,-7.306250e-01
-4.454501e-06,-7.571875e-01
-4.446501e-06,-7.406250e-01
-4.438501e-06,-7.575000e-01
-4.430501e-06,-7.368750e-01
-4.422501e-06,-7.503125e-01
-4.414501e-06,-7.321875e-01
-4.406501e-06,-7.415625e-01
-4.398501e-06,-7.225000e-01
-4.390501e-06,-7.465625e-01
-4.382501e-06,-7.262500e-01
-4.374501e-06,-7.525000e-01
-4.366501e-06,-7.275000e-01
-4.358501e-06,-7.375000e-01
-4.350501e-06,-7.218750e-01
-4.342501e-06,-7.400000e-01
-4.334501e-06,-7.437500e-01
-4.326501e-06,-7.478125e-01
-4.318501e-06,-7.384375e-01
-4.310501e-06,-7.575000e-01
-4.302501e-06,-7.221875e-01
-4.294501e-06,-7.518750e-01
-4.286501e-06,-7.281250e-01
-4.278501e-06,-7.509375e-01
-4.270501e-06,-7.306250e-01
-4.262501e-06,-7.525000e-01
-4.254501e-06,-7.303125e-01
-4.246501e-06,-7.515625e-01
-4.238501e-06,-7.250000e-01
-4.230501e-06,-7.434375e-01
-4.222501e-06,-7.181250e-01
-4.214501e-06,-7.450000e-01
-4.206501e-06,-7.390625e-01
-4.198501e-06,-7.481250e-01
-4.190501e-06,-7.503125e-01
-4.182501e-06,-7.668750e-01
-4.174501e-06,-7.328125e-01
-4.166501e-06,-7.553125e-01
-4.158501e-06,-7.246875e-01
-4.150501e-06,-7.431250e-01
-4.142501e-06,-7.340625e-01
-4.134501e-06,-7.506250e-01
-4.126501e-06,-7.337500e-01
-4.118501e-06,-7.484375e-01
-4.110501e-06,-7.306250e-01
-4.102501e-06,-7.384375e-01
-4.094501e-06,-7.318750e-01
-4.086501e-06,-7.421875e-01
-4.078501e-06,-7.381250e-01
-4.070501e-06,-7.525000e-01
-4.062501e-06,-7.312500e-01
-4.054501e-06,-7.596875e-01
-4.046501e-06,-7.284375e-01
-4.038501e-06,-7.500000e-01
-4.030501e-06,-7.300000e-01
-4.022501e-06,-7.281250e-01
-4.014501e-06,-7.256250e-01
-4.006501e-06,-7.490625e-01
-3.998501e-06,-7.268750e-01
-3.990501e-06,-7.453125e-01
-3.982501e-06,-7.259375e-01
-3.974501e-06,-7.387500e-01
-3.966501e-06,-7.256250e-01
-3.958501e-06,-7.434375e-01
-3.950501e-06,-7.328125e-01
-3.942501e-06,-7.490625e-01
-3.934501e-06,-7.337500e-01
-3.926501e-06,-7.509375e-01
-3.918501e-06,-7.350000e-01
-3.910501e-06,-7.434375e-01
-3.902501e-06,-7.271875e-01
-3.894501e-06,-7.378125e-01
-3.886501e-06,-7.281250e-01
-3.878501e-06,-7.468750e-01
-3.870501e-06,-7.275000e-01
-3.862501e-06,-7.465625e-01
