Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.890156
Vertical Units,V

TIME,CH3
-4.999121e-06,-7.393750e-01
-4.991121e-06,-7.421875e-01
-4.983121e-06,-7.456250e-01
-4.975121e-06,-7.275000e-01
-4.967121e-06,-7.543750e-01
-4.959121e-06,-7.340625e-01
-4.951121e-06,-7.415625e-01
-4.943121e-06,-7.256250e-01
-4.935121e-06,-7.506250e-01
-4.927121e-06,-7.443750e-01
-4.919121e-06,-7.568750e-01
-4.911121e-06,-7.484375e-01
-4.903121e-06,-7.465625e-01
-4.895121e-06,-7.228125e-01
-4.887121e-06,-7.415625e-01
-4.879121e-06,-7.250000e-01
-4.871121e-06,-7.443750e-01
-4.863121e-06,-7.300000e-01
-4.855121e-06,-7.515625e-01
-4.847121e-06,-7.371875e-01
-4.839121e-06,-7.578125e-01
-4.831121e-06,-7.228125e-01
-4.823121e-06,-7.456250e-01
-4.815121e-06,-7.293750e-01
-4.807121e-06,-7.425000e-01
-4.799121e-06,-7.381250e-01
-4.791121e-06,-7.425000e-01
-4.783121e-06,-7.306250e-01
-4.775121e-06,-7.540625e-01
-4.767121e-06,-7.265625e-01
-4.759121e-06,-7.468750e-01
-4.751121e-06,-7.306250e-01
-4.743121e-06,-7.425000e-01
-4.735121e-06,-7.378125e-01
-4.727121e-06,-7.575000e-01
-4.719121e-06,-7.306250e-01
-4.711121e-06,-7.484375e-01
-4.703121e-06,-7.484375e-01
-4.695121e-06,-7.431250e-01
-4.687121e-06,-7.243750e-01
-4.679121e-06,-7.556250e-01
-4.671121e-06,-7.359375e-01
-4.663121e-06,-7.478125e-01
-4.655121e-06,-7.440625e-01
-4.647121e-06,-7.618750e-01
-4.639121e-06,-7.300000e-01
-4.631121e-06,-7.368750e-01
-4.623121e-06,-7.434375e-01
-4.615121e-06,-7.421875e-01
-4.607121e-06,-7.325000e-01
-4.599121e-06,-7.459375e-01
-4.591121e-06,-7.296875e-01
-4.583121e-06,-7.471875e-01
-4.575121e-06,-7.281250e-01
-4.567121e-06,-7.362500e-01
-4.559121e-06,-7.109375e-01
-4.551121e-06,-7.409375e-01
-4.543121e-06,-7.393750e-01
-4.535121e-06,-7.453125e-01
-4.527121e-06,-7.425000e-01
-4.519121e-06,-7.540625e-01
-4.511121e-06,-7.315625e-01
-4.503121e-06,-7.390625e-01
-4.495121e-06,-7.334375e-01
-4.487121e-06,-7.431250e-01
-4.479121e-06,-7.331250e-01
-4.471121e-06,-7.571875e-01
-4.463121e-06,-7.325000e-01
-4.455121e-06,-7.543750e-01
-4.447121e-06,-7.387500e-01
-4.439121e-06,-7.525000e-01
-4.431121e-06,-7.268750e-01
-4.423121e-06,-7.481250e-01
-4.415121e-06,-7.440625e-01
-4.407121e-06,-7.581250e-01
-4.399121e-06,-7.428125e-01
-4.391121e-06,-7.465625e-01
-4.383121e-06,-7.153125e-01
-4.375121e-06,-7.553125e-01
-4.367121e-06,-7.346875e-01
-4.359121e-06,-7.462500e-01
-4.351121e-06,-7.337500e-01
-4.343121e-06,-7.428125e-01
-4.335121e-06,-7.237500e-01
-4.327121e-06,-7.471875e-01
-4.319121e-06,-7.284375e-01
-4.311121e-06,-7.456250e-01
-4.303121e-06,-7.178125e-01
-4.295121e-06,-7.434375e-01
-4.287121e-06,-7.256250e-01
-4.279121e-06,-7.531250e-01
-4.271121e-06,-7.250000e-01
-4.263121e-06,-7.596875e-01
-4.255121e-06,-7.293750e-01
-4.247121e-06,-7.387500e-01
-4.239121e-06,-7.300000e-01
-4.231121e-06,-7.340625e-01
-4.223121e-06,-7.215625e-01
-4.215121e-06,-7.550000e-01
-4.207121e-06,-7.343750e-01
-4.199121e-06,-7.515625e-01
-4.191121e-06,-7.334375e-01
-4.183121e-06,-7.453125e-01
-4.175121e-06,-7.275000e-01
-4.167121e-06,-7.521875e-01
-4.159121e-06,-7.396875e-01
-4.151121e-06,-7.521875e-01
-4.143121e-06,-7.459375e-01
-4.135121e-06,-7.465625e-01
-4.127121e-06,-7.243750e-01
-4.119121e-06,-7.512500e-01
-4.111121e-06,-7.334375e-01
-4.103121e-06,-7.481250e-01
-4.095121e-06,-7.456250e-01
-4.087121e-06,-7.503125e-01
-4.079121e-06,-7.343750e-01
-4.071121e-06,-7.440625e-01
-4.063121e-06,-7.393750e-01
-4.055121e-06,-7.478125e-01
-4.047121e-06,-7.256250e-01
-4.039121e-06,-7.559375e-01
-4.031121e-06,-7.368750e-01
-4.023121e-06,-7.446875e-01
-4.015121e-06,-7.325000e-01
-4.007121e-06,-7.503125e-01
-3.999121e-06,-7.353125e-01
-3.991121e-06,-7.525000e-01
-3.983121e-06,-7.375000e-01
-3.975121e-06,-7.325000e-01
-3.967121e-06,-7.231250e-01
-3.959121e-06,-7.484375e-01
-3.951121e-06,-7.331250e-01
-3.943121e-06,-7.450000e-01
-3.935121e-06,-7.268750e-01
-3.927121e-06,-7.400000e-01
-3.919121e-06,-7.262500e-01
-3.911121e-06,-7.387500e-01
-3.903121e-06,-7.362500e-01
-3.895121e-06,-7.456250e-01
-3.887121e-06,-7.456250e-01
-3.879121e-06,-7.331250e-01
-3.871121e-06,-7.325000e-01
-3.863121e-06,-7.350000e-01
