Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.835156
Vertical Units,V

TIME,CH3
-4.998681e-06,-7.456250e-01
-4.990681e-06,-7.212500e-01
-4.982681e-06,-7.509375e-01
-4.974681e-06,-7.343750e-01
-4.966681e-06,-7.543750e-01
-4.958681e-06,-7.212500e-01
-4.950681e-06,-7.340625e-01
-4.942681e-06,-7.437500e-01
-4.934681e-06,-7.403125e-01
-4.926681e-06,-7.515625e-01
-4.918681e-06,-7.453125e-01
-4.910681e-06,-7.250000e-01
-4.902681e-06,-7.428125e-01
-4.894681e-06,-7.312500e-01
-4.886681e-06,-7.378125e-01
-4.878681e-06,-7.268750e-01
-4.870681e-06,-7.481250e-01
-4.862681e-06,-7.418750e-01
-4.854681e-06,-7.446875e-01
-4.846681e-06,-7.306250e-01
-4.838681e-06,-7.440625e-01
-4.830681e-06,-7.059375e-01
-4.822681e-06,-7.425000e-01
-4.814681e-06,-7.375000e-01
-4.806681e-06,-7.437500e-01
-4.798681e-06,-7.284375e-01
-4.790681e-06,-7.387500e-01
-4.782681e-06,-7.268750e-01
-4.774681e-06,-7.375000e-01
-4.766681e-06,-7.312500e-01
-4.758681e-06,-7.321875e-01
-4.750681e-06,-7.231250e-01
-4.742681e-06,-7.428125e-01
-4.734681e-06,-7.215625e-01
-4.726681e-06,-7.378125e-01
-4.718681e-06,-7.268750e-01
-4.710681e-06,-7.443750e-01
-4.702681e-06,-7.212500e-01
-4.694681e-06,-7.356250e-01
-4.686681e-06,-7.293750e-01
-4.678681e-06,-7.431250e-01
-4.670681e-06,-7.337500e-01
-4.662681e-06,-7.534375e-01
-4.654681e-06,-7.156250e-01
-4.646681e-06,-7.387500e-01
-4.638681e-06,-7.231250e-01
-4.630681e-06,-7.418750e-01
-4.622681e-06,-7.175000e-01
-4.614681e-06,-7.503125e-01
-4.606681e-06,-7.318750e-01
-4.598681e-06,-7.459375e-01
-4.590681e-06,-7.184375e-01
-4.582681e-06,-7.381250e-01
-4.574681e-06,-7.125000e-01
-4.566681e-06,-7.596875e-01
-4.558681e-06,-7.250000e-01
-4.550681e-06,-7.396875e-01
-4.542681e-06,-7.350000e-01
-4.534681e-06,-7.531250e-01
-4.526681e-06,-7.265625e-01
-4.518681e-06,-7.575000e-01
-4.510681e-06,-7.243750e-01
-4.502681e-06,-7.396875e-01
-4.494681e-06,-7.184375e-01
-4.486681e-06,-7.540625e-01
-4.478681e-06,-7.296875e-01
-4.470681e-06,-7.381250e-01
-4.462681e-06,-7.293750e-01
-4.454681e-06,-7.400000e-01
-4.446681e-06,-7.225000e-01
-4.438681e-06,-7.390625e-01
-4.430681e-06,-7.275000e-01
-4.422681e-06,-7.518750e-01
-4.414681e-06,-7.359375e-01
-4.406681e-06,-7.465625e-01
-4.398681e-06,-7.215625e-01
-4.390681e-06,-7.387500e-01
-4.382681e-06,-7.212500e-01
-4.374681e-06,-7.306250e-01
-4.366681e-06,-7.256250e-01
-4.358681e-06,-7.459375e-01
-4.350681e-06,-7.275000e-01
-4.342681e-06,-7.453125e-01
-4.334681e-06,-7.309375e-01
-4.326681e-06,-7.418750e-01
-4.318681e-06,-7.150000e-01
-4.310681e-06,-7.346875e-01
-4.302681e-06,-7.340625e-01
-4.294681e-06,-7.425000e-01
-4.286681e-06,-7.343750e-01
-4.278681e-06,-7.606250e-01
-4.270681e-06,-7.184375e-01
-4.262681e-06,-7.381250e-01
-4.254681e-06,-7.312500e-01
-4.246681e-06,-7.387500e-01
-4.238681e-06,-7.450000e-01
-4.230681e-06,-7.384375e-01
-4.222681e-06,-7.150000e-01
-4.214681e-06,-7.503125e-01
-4.206681e-06,-7.203125e-01
-4.198681e-06,-7.462500e-01
-4.190681e-06,-7.237500e-01
-4.182681e-06,-7.537500e-01
-4.174681e-06,-7.387500e-01
-4.166681e-06,-7.368750e-01
-4.158681e-06,-7.425000e-01
-4.150681e-06,-7.568750e-01
-4.142681e-06,-7.240625e-01
-4.134681e-06,-7.453125e-01
-4.126681e-06,-7.237500e-01
-4.118681e-06,-7.481250e-01
-4.110681e-06,-7.287500e-01
-4.102681e-06,-7.484375e-01
-4.094681e-06,-7.356250e-01
-4.086681e-06,-7.387500e-01
-4.078681e-06,-7.234375e-01
-4.070681e-06,-7.512500e-01
-4.062681e-06,-7.237500e-01
-4.054681e-06,-7.443750e-01
-4.046681e-06,-7.334375e-01
-4.038681e-06,-7.390625e-01
-4.030681e-06,-7.303125e-01
-4.022681e-06,-7.453125e-01
-4.014681e-06,-7.303125e-01
-4.006681e-06,-7.300000e-01
-3.998681e-06,-7.225000e-01
-3.990681e-06,-7.384375e-01
-3.982681e-06,-7.253125e-01
-3.974681e-06,-7.425000e-01
-3.966681e-06,-7.225000e-01
-3.958681e-06,-7.512500e-01
-3.950681e-06,-7.175000e-01
-3.942681e-06,-7.443750e-01
-3.934681e-06,-7.206250e-01
-3.926681e-06,-7.478125e-01
-3.918681e-06,-7.481250e-01
-3.910681e-06,-7.500000e-01
-3.902681e-06,-7.321875e-01
-3.894681e-06,-7.575000e-01
-3.886681e-06,-7.237500e-01
-3.878681e-06,-7.546875e-01
-3.870681e-06,-7.293750e-01
-3.862681e-06,-7.390625e-01
