Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.080156
Vertical Units,V

TIME,CH1
-4.992641e-06,1.375000e-02
-4.984641e-06,-3.875000e-02
-4.976641e-06,2.375000e-02
-4.968641e-06,-3.750000e-03
-4.960641e-06,-1.500000e-02
-4.952641e-06,-8.750000e-03
-4.944641e-06,1.125000e-02
-4.936641e-06,-1.500000e-02
-4.928641e-06,6.250000e-03
-4.920641e-06,-3.375000e-02
-4.912641e-06,2.000000e-02
-4.904641e-06,-2.250000e-02
-4.896641e-06,1.875000e-02
-4.888641e-06,-2.500000e-03
-4.880641e-06,-5.000000e-03
-4.872641e-06,-2.375000e-02
-4.864641e-06,7.500000e-03
-4.856641e-06,-1.000000e-02
-4.848641e-06,3.875000e-02
-4.840641e-06,0.000000e+00
-4.832641e-06,3.750000e-03
-4.824641e-06,1.500000e-02
-4.816641e-06,2.375000e-02
-4.808641e-06,-2.625000e-02
-4.800641e-06,1.750000e-02
-4.792641e-06,-2.500000e-02
-4.784641e-06,1.125000e-02
-4.776641e-06,-3.375000e-02
-4.768641e-06,3.000000e-02
-4.760641e-06,-7.500000e-03
-4.752641e-06,-6.250000e-03
-4.744641e-06,-1.625000e-02
-4.736641e-06,0.000000e+00
-4.728641e-06,-3.375000e-02
-4.720641e-06,2.750000e-02
-4.712641e-06,-5.000000e-03
-4.704641e-06,0.000000e+00
-4.696641e-06,6.250000e-03
-4.688641e-06,2.375000e-02
-4.680641e-06,-1.875000e-02
-4.672641e-06,5.000000e-03
-4.664641e-06,-1.250000e-02
-4.656641e-06,3.500000e-02
-4.648641e-06,-1.250000e-02
-4.640641e-06,5.000000e-03
-4.632641e-06,-1.125000e-02
-4.624641e-06,6.250000e-03
-4.616641e-06,-2.750000e-02
-4.608641e-06,1.000000e-02
-4.600641e-06,-2.875000e-02
-4.592641e-06,3.375000e-02
-4.584641e-06,2.000000e-02
-4.576641e-06,1.250000e-03
-4.568641e-06,-6.250000e-03
-4.560641e-06,2.750000e-02
-4.552641e-06,7.500000e-03
-4.544641e-06,1.250000e-02
-4.536641e-06,-2.500000e-02
-4.528641e-06,1.875000e-02
-4.520641e-06,-2.125000e-02
-4.512641e-06,3.625000e-02
-4.504641e-06,-1.875000e-02
-4.496641e-06,2.500000e-03
-4.488641e-06,-2.750000e-02
-4.480641e-06,-5.000000e-03
-4.472641e-06,-2.000000e-02
-4.464641e-06,3.125000e-02
-4.456641e-06,1.625000e-02
-4.448641e-06,1.750000e-02
-4.440641e-06,-2.750000e-02
-4.432641e-06,7.500000e-03
-4.424641e-06,0.000000e+00
-4.416641e-06,3.000000e-02
-4.408641e-06,-3.000000e-02
-4.400641e-06,2.500000e-02
-4.392641e-06,-1.000000e-02
-4.384641e-06,2.875000e-02
-4.376641e-06,-3.500000e-02
-4.368641e-06,6.250000e-03
-4.360641e-06,-1.250000e-03
-4.352641e-06,-5.000000e-03
-4.344641e-06,-2.375000e-02
-4.336641e-06,1.125000e-02
-4.328641e-06,-3.125000e-02
-4.320641e-06,0.000000e+00
-4.312641e-06,7.500000e-03
-4.304641e-06,3.250000e-02
-4.296641e-06,-1.000000e-02
-4.288641e-06,3.125000e-02
-4.280641e-06,-5.000000e-02
-4.272641e-06,8.750000e-03
-4.264641e-06,-5.000000e-03
-4.256641e-06,6.250000e-03
-4.248641e-06,-1.875000e-02
-4.240641e-06,1.875000e-02
-4.232641e-06,-8.750000e-03
-4.224641e-06,2.500000e-02
-4.216641e-06,-1.250000e-02
-4.208641e-06,2.625000e-02
-4.200641e-06,7.500000e-03
-4.192641e-06,2.125000e-02
-4.184641e-06,6.250000e-03
-4.176641e-06,8.750000e-03
-4.168641e-06,-1.375000e-02
-4.160641e-06,2.500000e-03
-4.152641e-06,-1.750000e-02
-4.144641e-06,1.250000e-02
-4.136641e-06,-1.375000e-02
-4.128641e-06,1.875000e-02
-4.120641e-06,1.000000e-02
-4.112641e-06,1.500000e-02
-4.104641e-06,-2.375000e-02
-4.096641e-06,8.750000e-03
-4.088641e-06,-2.750000e-02
-4.080641e-06,1.500000e-02
-4.072641e-06,7.500000e-03
-4.064641e-06,2.250000e-02
-4.056641e-06,-1.750000e-02
-4.048641e-06,2.500000e-03
-4.040641e-06,-2.000000e-02
-4.032641e-06,1.125000e-02
-4.024641e-06,-2.750000e-02
-4.016641e-06,2.500000e-02
-4.008641e-06,-2.625000e-02
-4.000641e-06,2.750000e-02
-3.992641e-06,-3.000000e-02
-3.984641e-06,-3.750000e-03
-3.976641e-06,-1.500000e-02
-3.968641e-06,1.875000e-02
-3.960641e-06,-1.625000e-02
-3.952641e-06,2.000000e-02
-3.944641e-06,-7.500000e-03
-3.936641e-06,1.375000e-02
-3.928641e-06,-7.500000e-03
-3.920641e-06,7.500000e-03
-3.912641e-06,-2.500000e-03
-3.904641e-06,1.500000e-02
-3.896641e-06,-2.625000e-02
-3.888641e-06,1.500000e-02
-3.880641e-06,-8.750000e-03
-3.872641e-06,3.375000e-02
-3.864641e-06,-6.250000e-03
-3.856641e-06,1.375000e-02
-3.848641e-06,6.250000e-03
-3.840641e-06,1.875000e-02
-3.832641e-06,-3.250000e-02
-3.824641e-06,7.500000e-03
