Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.275156
Vertical Units,V

TIME,CH3
-4.994201e-06,-7.203125e-01
-4.986201e-06,-7.581250e-01
-4.978201e-06,-7.271875e-01
-4.970201e-06,-7.371875e-01
-4.962201e-06,-7.243750e-01
-4.954201e-06,-7.431250e-01
-4.946201e-06,-7.281250e-01
-4.938201e-06,-7.531250e-01
-4.930201e-06,-7.275000e-01
-4.922201e-06,-7.409375e-01
-4.914201e-06,-7.243750e-01
-4.906201e-06,-7.518750e-01
-4.898201e-06,-7.381250e-01
-4.890201e-06,-7.493750e-01
-4.882201e-06,-7.412500e-01
-4.874201e-06,-7.593750e-01
-4.866201e-06,-7.218750e-01
-4.858201e-06,-7.375000e-01
-4.850201e-06,-7.306250e-01
-4.842201e-06,-7.259375e-01
-4.834201e-06,-7.231250e-01
-4.826201e-06,-7.468750e-01
-4.818201e-06,-7.250000e-01
-4.810201e-06,-7.490625e-01
-4.802201e-06,-7.268750e-01
-4.794201e-06,-7.500000e-01
-4.786201e-06,-7.143750e-01
-4.778201e-06,-7.453125e-01
-4.770201e-06,-7.250000e-01
-4.762201e-06,-7.431250e-01
-4.754201e-06,-7.418750e-01
-4.746201e-06,-7.534375e-01
-4.738201e-06,-7.250000e-01
-4.730201e-06,-7.443750e-01
-4.722201e-06,-7.228125e-01
-4.714201e-06,-7.531250e-01
-4.706201e-06,-7.250000e-01
-4.698201e-06,-7.465625e-01
-4.690201e-06,-7.312500e-01
-4.682201e-06,-7.515625e-01
-4.674201e-06,-7.256250e-01
-4.666201e-06,-7.393750e-01
-4.658201e-06,-7.218750e-01
-4.650201e-06,-7.631250e-01
-4.642201e-06,-7.243750e-01
-4.634201e-06,-7.550000e-01
-4.626201e-06,-7.287500e-01
-4.618201e-06,-7.518750e-01
-4.610201e-06,-7.246875e-01
-4.602201e-06,-7.487500e-01
-4.594201e-06,-7.275000e-01
-4.586201e-06,-7.378125e-01
-4.578201e-06,-7.268750e-01
-4.570201e-06,-7.387500e-01
-4.562201e-06,-7.293750e-01
-4.554201e-06,-7.634375e-01
-4.546201e-06,-7.268750e-01
-4.538201e-06,-7.331250e-01
-4.530201e-06,-7.156250e-01
-4.522201e-06,-7.381250e-01
-4.514201e-06,-7.453125e-01
-4.506201e-06,-7.478125e-01
-4.498201e-06,-7.418750e-01
-4.490201e-06,-7.487500e-01
-4.482201e-06,-7.215625e-01
-4.474201e-06,-7.509375e-01
-4.466201e-06,-7.256250e-01
-4.458201e-06,-7.465625e-01
-4.450201e-06,-7.368750e-01
-4.442201e-06,-7.471875e-01
-4.434201e-06,-7.346875e-01
-4.426201e-06,-7.434375e-01
-4.418201e-06,-7.218750e-01
-4.410201e-06,-7.387500e-01
-4.402201e-06,-7.187500e-01
-4.394201e-06,-7.343750e-01
-4.386201e-06,-7.415625e-01
-4.378201e-06,-7.421875e-01
-4.370201e-06,-7.378125e-01
-4.362201e-06,-7.421875e-01
-4.354201e-06,-7.237500e-01
-4.346201e-06,-7.381250e-01
-4.338201e-06,-7.175000e-01
-4.330201e-06,-7.434375e-01
-4.322201e-06,-7.243750e-01
-4.314201e-06,-7.650000e-01
-4.306201e-06,-7.296875e-01
-4.298201e-06,-7.550000e-01
-4.290201e-06,-7.221875e-01
-4.282201e-06,-7.487500e-01
-4.274201e-06,-7.225000e-01
-4.266201e-06,-7.550000e-01
-4.258201e-06,-7.309375e-01
-4.250201e-06,-7.515625e-01
-4.242201e-06,-7.312500e-01
-4.234201e-06,-7.581250e-01
-4.226201e-06,-7.212500e-01
-4.218201e-06,-7.434375e-01
-4.210201e-06,-7.262500e-01
-4.202201e-06,-7.440625e-01
-4.194201e-06,-7.328125e-01
-4.186201e-06,-7.418750e-01
-4.178201e-06,-7.121875e-01
-4.170201e-06,-7.484375e-01
-4.162201e-06,-7.287500e-01
-4.154201e-06,-7.456250e-01
-4.146201e-06,-7.259375e-01
-4.138201e-06,-7.521875e-01
-4.130201e-06,-7.475000e-01
-4.122201e-06,-7.437500e-01
-4.114201e-06,-7.359375e-01
-4.106201e-06,-7.506250e-01
-4.098201e-06,-7.218750e-01
-4.090201e-06,-7.381250e-01
-4.082201e-06,-7.321875e-01
-4.074201e-06,-7.328125e-01
-4.066201e-06,-7.312500e-01
-4.058201e-06,-7.371875e-01
-4.050201e-06,-7.281250e-01
-4.042201e-06,-7.503125e-01
-4.034201e-06,-7.350000e-01
-4.026201e-06,-7.378125e-01
-4.018201e-06,-7.203125e-01
-4.010201e-06,-7.481250e-01
-4.002201e-06,-7.343750e-01
-3.994201e-06,-7.400000e-01
-3.986201e-06,-7.365625e-01
-3.978201e-06,-7.528125e-01
-3.970201e-06,-7.190625e-01
-3.962201e-06,-7.443750e-01
-3.954201e-06,-7.287500e-01
-3.946201e-06,-7.556250e-01
-3.938201e-06,-7.243750e-01
-3.930201e-06,-7.581250e-01
-3.922201e-06,-7.287500e-01
-3.914201e-06,-7.478125e-01
-3.906201e-06,-7.315625e-01
-3.898201e-06,-7.496875e-01
-3.890201e-06,-7.156250e-01
-3.882201e-06,-7.384375e-01
-3.874201e-06,-7.456250e-01
-3.866201e-06,-7.493750e-01
-3.858201e-06,-7.243750e-01
