Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.285156
Vertical Units,V

TIME,CH3
-4.994281e-06,-7.109375e-01
-4.986281e-06,-7.409375e-01
-4.978281e-06,-7.437500e-01
-4.970281e-06,-7.387500e-01
-4.962281e-06,-7.325000e-01
-4.954281e-06,-7.515625e-01
-4.946281e-06,-7.390625e-01
-4.938281e-06,-7.443750e-01
-4.930281e-06,-7.221875e-01
-4.922281e-06,-7.375000e-01
-4.914281e-06,-7.262500e-01
-4.906281e-06,-7.428125e-01
-4.898281e-06,-7.515625e-01
-4.890281e-06,-7.440625e-01
-4.882281e-06,-7.390625e-01
-4.874281e-06,-7.425000e-01
-4.866281e-06,-7.206250e-01
-4.858281e-06,-7.581250e-01
-4.850281e-06,-7.346875e-01
-4.842281e-06,-7.431250e-01
-4.834281e-06,-7.484375e-01
-4.826281e-06,-7.540625e-01
-4.818281e-06,-7.318750e-01
-4.810281e-06,-7.528125e-01
-4.802281e-06,-7.159375e-01
-4.794281e-06,-7.378125e-01
-4.786281e-06,-7.337500e-01
-4.778281e-06,-7.378125e-01
-4.770281e-06,-7.312500e-01
-4.762281e-06,-7.503125e-01
-4.754281e-06,-7.209375e-01
-4.746281e-06,-7.475000e-01
-4.738281e-06,-7.221875e-01
-4.730281e-06,-7.387500e-01
-4.722281e-06,-7.450000e-01
-4.714281e-06,-7.478125e-01
-4.706281e-06,-7.375000e-01
-4.698281e-06,-7.487500e-01
-4.690281e-06,-7.312500e-01
-4.682281e-06,-7.446875e-01
-4.674281e-06,-7.225000e-01
-4.666281e-06,-7.434375e-01
-4.658281e-06,-7.315625e-01
-4.650281e-06,-7.356250e-01
-4.642281e-06,-7.368750e-01
-4.634281e-06,-7.553125e-01
-4.626281e-06,-7.375000e-01
-4.618281e-06,-7.453125e-01
-4.610281e-06,-7.287500e-01
-4.602281e-06,-7.500000e-01
-4.594281e-06,-7.356250e-01
-4.586281e-06,-7.415625e-01
-4.578281e-06,-7.503125e-01
-4.570281e-06,-7.581250e-01
-4.562281e-06,-7.284375e-01
-4.554281e-06,-7.450000e-01
-4.546281e-06,-7.362500e-01
-4.538281e-06,-7.496875e-01
-4.530281e-06,-7.256250e-01
-4.522281e-06,-7.556250e-01
-4.514281e-06,-7.356250e-01
-4.506281e-06,-7.606250e-01
-4.498281e-06,-7.359375e-01
-4.490281e-06,-7.481250e-01
-4.482281e-06,-7.212500e-01
-4.474281e-06,-7.359375e-01
-4.466281e-06,-7.353125e-01
-4.458281e-06,-7.584375e-01
-4.450281e-06,-7.428125e-01
-4.442281e-06,-7.475000e-01
-4.434281e-06,-7.271875e-01
-4.426281e-06,-7.356250e-01
-4.418281e-06,-7.350000e-01
-4.410281e-06,-7.321875e-01
-4.402281e-06,-7.365625e-01
-4.394281e-06,-7.431250e-01
-4.386281e-06,-7.300000e-01
-4.378281e-06,-7.546875e-01
-4.370281e-06,-7.168750e-01
-4.362281e-06,-7.481250e-01
-4.354281e-06,-7.156250e-01
-4.346281e-06,-7.453125e-01
-4.338281e-06,-7.412500e-01
-4.330281e-06,-7.656250e-01
-4.322281e-06,-7.528125e-01
-4.314281e-06,-7.575000e-01
-4.306281e-06,-7.265625e-01
-4.298281e-06,-7.443750e-01
-4.290281e-06,-7.231250e-01
-4.282281e-06,-7.331250e-01
-4.274281e-06,-7.356250e-01
-4.266281e-06,-7.440625e-01
-4.258281e-06,-7.175000e-01
-4.250281e-06,-7.503125e-01
-4.242281e-06,-7.371875e-01
-4.234281e-06,-7.359375e-01
-4.226281e-06,-7.343750e-01
-4.218281e-06,-7.487500e-01
-4.210281e-06,-7.343750e-01
-4.202281e-06,-7.600000e-01
-4.194281e-06,-7.415625e-01
-4.186281e-06,-7.540625e-01
-4.178281e-06,-7.400000e-01
-4.170281e-06,-7.518750e-01
-4.162281e-06,-7.287500e-01
-4.154281e-06,-7.375000e-01
-4.146281e-06,-7.343750e-01
-4.138281e-06,-7.537500e-01
-4.130281e-06,-7.275000e-01
-4.122281e-06,-7.440625e-01
-4.114281e-06,-7.325000e-01
-4.106281e-06,-7.487500e-01
-4.098281e-06,-7.153125e-01
-4.090281e-06,-7.375000e-01
-4.082281e-06,-7.334375e-01
-4.074281e-06,-7.337500e-01
-4.066281e-06,-7.215625e-01
-4.058281e-06,-7.568750e-01
-4.050281e-06,-7.300000e-01
-4.042281e-06,-7.343750e-01
-4.034281e-06,-7.300000e-01
-4.026281e-06,-7.337500e-01
-4.018281e-06,-7.156250e-01
-4.010281e-06,-7.500000e-01
-4.002281e-06,-7.468750e-01
-3.994281e-06,-7.393750e-01
-3.986281e-06,-7.306250e-01
-3.978281e-06,-7.393750e-01
-3.970281e-06,-7.300000e-01
-3.962281e-06,-7.487500e-01
-3.954281e-06,-7.350000e-01
-3.946281e-06,-7.365625e-01
-3.938281e-06,-7.468750e-01
-3.930281e-06,-7.493750e-01
-3.922281e-06,-7.340625e-01
-3.914281e-06,-7.440625e-01
-3.906281e-06,-7.340625e-01
-3.898281e-06,-7.390625e-01
-3.890281e-06,-7.287500e-01
-3.882281e-06,-7.425000e-01
-3.874281e-06,-7.325000e-01
-3.866281e-06,-7.600000e-01
-3.858281e-06,-7.243750e-01
