Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.925000
Vertical Units,V

TIME,CH3
-4.999400e-06,-7.309375e-01
-4.991400e-06,-7.575000e-01
-4.983400e-06,-7.446875e-01
-4.975400e-06,-7.471875e-01
-4.967400e-06,-7.365625e-01
-4.959400e-06,-7.621875e-01
-4.951400e-06,-7.306250e-01
-4.943400e-06,-7.418750e-01
-4.935400e-06,-7.312500e-01
-4.927400e-06,-7.512500e-01
-4.919400e-06,-7.212500e-01
-4.911400e-06,-7.484375e-01
-4.903400e-06,-7.337500e-01
-4.895400e-06,-7.653125e-01
-4.887400e-06,-7.490625e-01
-4.879400e-06,-7.456250e-01
-4.871400e-06,-7.306250e-01
-4.863400e-06,-7.484375e-01
-4.855400e-06,-7.471875e-01
-4.847400e-06,-7.556250e-01
-4.839400e-06,-7.406250e-01
-4.831400e-06,-7.621875e-01
-4.823400e-06,-7.378125e-01
-4.815400e-06,-7.515625e-01
-4.807400e-06,-7.340625e-01
-4.799400e-06,-7.278125e-01
-4.791400e-06,-7.284375e-01
-4.783400e-06,-7.540625e-01
-4.775400e-06,-7.353125e-01
-4.767400e-06,-7.518750e-01
-4.759400e-06,-7.384375e-01
-4.751400e-06,-7.556250e-01
-4.743400e-06,-7.231250e-01
-4.735400e-06,-7.353125e-01
-4.727400e-06,-7.365625e-01
-4.719400e-06,-7.584375e-01
-4.711400e-06,-7.428125e-01
-4.703400e-06,-7.434375e-01
-4.695400e-06,-7.362500e-01
-4.687400e-06,-7.300000e-01
-4.679400e-06,-7.240625e-01
-4.671400e-06,-7.284375e-01
-4.663400e-06,-7.293750e-01
-4.655400e-06,-7.628125e-01
-4.647400e-06,-7.318750e-01
-4.639400e-06,-7.546875e-01
-4.631400e-06,-7.365625e-01
-4.623400e-06,-7.515625e-01
-4.615400e-06,-7.271875e-01
-4.607400e-06,-7.428125e-01
-4.599400e-06,-7.365625e-01
-4.591400e-06,-7.446875e-01
-4.583400e-06,-7.456250e-01
-4.575400e-06,-7.562500e-01
-4.567400e-06,-7.259375e-01
-4.559400e-06,-7.543750e-01
-4.551400e-06,-7.259375e-01
-4.543400e-06,-7.440625e-01
-4.535400e-06,-7.300000e-01
-4.527400e-06,-7.443750e-01
-4.519400e-06,-7.356250e-01
-4.511400e-06,-7.540625e-01
-4.503400e-06,-7.162500e-01
-4.495400e-06,-7.528125e-01
-4.487400e-06,-7.218750e-01
-4.479400e-06,-7.512500e-01
-4.471400e-06,-7.384375e-01
-4.463400e-06,-7.587500e-01
-4.455400e-06,-7.321875e-01
-4.447400e-06,-7.540625e-01
-4.439400e-06,-7.343750e-01
-4.431400e-06,-7.515625e-01
-4.423400e-06,-7.287500e-01
-4.415400e-06,-7.378125e-01
-4.407400e-06,-7.350000e-01
-4.399400e-06,-7.553125e-01
-4.391400e-06,-7.262500e-01
-4.383400e-06,-7.578125e-01
-4.375400e-06,-7.281250e-01
-4.367400e-06,-7.462500e-01
-4.359400e-06,-7.284375e-01
-4.351400e-06,-7.478125e-01
-4.343400e-06,-7.415625e-01
-4.335400e-06,-7.600000e-01
-4.327400e-06,-7.296875e-01
-4.319400e-06,-7.612500e-01
-4.311400e-06,-7.312500e-01
-4.303400e-06,-7.468750e-01
-4.295400e-06,-7.284375e-01
-4.287400e-06,-7.365625e-01
-4.279400e-06,-7.375000e-01
-4.271400e-06,-7.550000e-01
-4.263400e-06,-7.243750e-01
-4.255400e-06,-7.490625e-01
-4.247400e-06,-7.278125e-01
-4.239400e-06,-7.450000e-01
-4.231400e-06,-7.240625e-01
-4.223400e-06,-7.481250e-01
-4.215400e-06,-7.362500e-01
-4.207400e-06,-7.581250e-01
-4.199400e-06,-7.390625e-01
-4.191400e-06,-7.618750e-01
-4.183400e-06,-7.306250e-01
-4.175400e-06,-7.368750e-01
-4.167400e-06,-7.368750e-01
-4.159400e-06,-7.356250e-01
-4.151400e-06,-7.268750e-01
-4.143400e-06,-7.553125e-01
-4.135400e-06,-7.434375e-01
-4.127400e-06,-7.478125e-01
-4.119400e-06,-7.400000e-01
-4.111400e-06,-7.506250e-01
-4.103400e-06,-7.268750e-01
-4.095400e-06,-7.612500e-01
-4.087400e-06,-7.490625e-01
-4.079400e-06,-7.478125e-01
-4.071400e-06,-7.496875e-01
-4.063400e-06,-7.696875e-01
-4.055400e-06,-7.350000e-01
-4.047400e-06,-7.543750e-01
-4.039400e-06,-7.356250e-01
-4.031400e-06,-7.453125e-01
-4.023400e-06,-7.300000e-01
-4.015400e-06,-7.559375e-01
-4.007400e-06,-7.356250e-01
-3.999400e-06,-7.612500e-01
-3.991400e-06,-7.187500e-01
-3.983400e-06,-7.484375e-01
-3.975400e-06,-7.271875e-01
-3.967400e-06,-7.493750e-01
-3.959400e-06,-7.440625e-01
-3.951400e-06,-7.584375e-01
-3.943400e-06,-7.387500e-01
-3.935400e-06,-7.546875e-01
-3.927400e-06,-7.318750e-01
-3.919400e-06,-7.503125e-01
-3.911400e-06,-7.375000e-01
-3.903400e-06,-7.381250e-01
-3.895400e-06,-7.312500e-01
-3.887400e-06,-7.509375e-01
-3.879400e-06,-7.350000e-01
-3.871400e-06,-7.531250e-01
-3.863400e-06,-7.290625e-01
