Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.847656
Vertical Units,V

TIME,CH3
-4.998781e-06,-7.278125e-01
-4.990781e-06,-7.625000e-01
-4.982781e-06,-7.381250e-01
-4.974781e-06,-7.568750e-01
-4.966781e-06,-7.246875e-01
-4.958781e-06,-7.518750e-01
-4.950781e-06,-7.512500e-01
-4.942781e-06,-7.568750e-01
-4.934781e-06,-7.540625e-01
-4.926781e-06,-7.500000e-01
-4.918781e-06,-7.284375e-01
-4.910781e-06,-7.562500e-01
-4.902781e-06,-7.300000e-01
-4.894781e-06,-7.462500e-01
-4.886781e-06,-7.350000e-01
-4.878781e-06,-7.603125e-01
-4.870781e-06,-7.246875e-01
-4.862781e-06,-7.428125e-01
-4.854781e-06,-7.271875e-01
-4.846781e-06,-7.431250e-01
-4.838781e-06,-7.187500e-01
-4.830781e-06,-7.443750e-01
-4.822781e-06,-7.371875e-01
-4.814781e-06,-7.468750e-01
-4.806781e-06,-7.371875e-01
-4.798781e-06,-7.496875e-01
-4.790781e-06,-7.328125e-01
-4.782781e-06,-7.518750e-01
-4.774781e-06,-7.234375e-01
-4.766781e-06,-7.325000e-01
-4.758781e-06,-7.250000e-01
-4.750781e-06,-7.493750e-01
-4.742781e-06,-7.246875e-01
-4.734781e-06,-7.509375e-01
-4.726781e-06,-7.237500e-01
-4.718781e-06,-7.525000e-01
-4.710781e-06,-7.231250e-01
-4.702781e-06,-7.506250e-01
-4.694781e-06,-7.471875e-01
-4.686781e-06,-7.440625e-01
-4.678781e-06,-7.406250e-01
-4.670781e-06,-7.503125e-01
-4.662781e-06,-7.246875e-01
-4.654781e-06,-7.381250e-01
-4.646781e-06,-7.328125e-01
-4.638781e-06,-7.468750e-01
-4.630781e-06,-7.290625e-01
-4.622781e-06,-7.490625e-01
-4.614781e-06,-7.259375e-01
-4.606781e-06,-7.525000e-01
-4.598781e-06,-7.315625e-01
-4.590781e-06,-7.496875e-01
-4.582781e-06,-7.262500e-01
-4.574781e-06,-7.543750e-01
-4.566781e-06,-7.540625e-01
-4.558781e-06,-7.475000e-01
-4.550781e-06,-7.337500e-01
-4.542781e-06,-7.390625e-01
-4.534781e-06,-7.293750e-01
-4.526781e-06,-7.468750e-01
-4.518781e-06,-7.325000e-01
-4.510781e-06,-7.343750e-01
-4.502781e-06,-7.321875e-01
-4.494781e-06,-7.531250e-01
-4.486781e-06,-7.484375e-01
-4.478781e-06,-7.581250e-01
-4.470781e-06,-7.287500e-01
-4.462781e-06,-7.387500e-01
-4.454781e-06,-7.196875e-01
-4.446781e-06,-7.471875e-01
-4.438781e-06,-7.378125e-01
-4.430781e-06,-7.540625e-01
-4.422781e-06,-7.440625e-01
-4.414781e-06,-7.550000e-01
-4.406781e-06,-7.321875e-01
-4.398781e-06,-7.543750e-01
-4.390781e-06,-7.343750e-01
-4.382781e-06,-7.518750e-01
-4.374781e-06,-7.237500e-01
-4.366781e-06,-7.612500e-01
-4.358781e-06,-7.237500e-01
-4.350781e-06,-7.459375e-01
-4.342781e-06,-7.359375e-01
-4.334781e-06,-7.518750e-01
-4.326781e-06,-7.190625e-01
-4.318781e-06,-7.543750e-01
-4.310781e-06,-7.521875e-01
-4.302781e-06,-7.415625e-01
-4.294781e-06,-7.521875e-01
-4.286781e-06,-7.575000e-01
-4.278781e-06,-7.365625e-01
-4.270781e-06,-7.556250e-01
-4.262781e-06,-7.243750e-01
-4.254781e-06,-7.543750e-01
-4.246781e-06,-7.256250e-01
-4.238781e-06,-7.531250e-01
-4.230781e-06,-7.225000e-01
-4.222781e-06,-7.525000e-01
-4.214781e-06,-7.196875e-01
-4.206781e-06,-7.481250e-01
-4.198781e-06,-7.131250e-01
-4.190781e-06,-7.543750e-01
-4.182781e-06,-7.518750e-01
-4.174781e-06,-7.478125e-01
-4.166781e-06,-7.421875e-01
-4.158781e-06,-7.618750e-01
-4.150781e-06,-7.296875e-01
-4.142781e-06,-7.556250e-01
-4.134781e-06,-7.353125e-01
-4.126781e-06,-7.440625e-01
-4.118781e-06,-7.331250e-01
-4.110781e-06,-7.509375e-01
-4.102781e-06,-7.387500e-01
-4.094781e-06,-7.525000e-01
-4.086781e-06,-7.425000e-01
-4.078781e-06,-7.562500e-01
-4.070781e-06,-7.246875e-01
-4.062781e-06,-7.634375e-01
-4.054781e-06,-7.406250e-01
-4.046781e-06,-7.531250e-01
-4.038781e-06,-7.428125e-01
-4.030781e-06,-7.593750e-01
-4.022781e-06,-7.368750e-01
-4.014781e-06,-7.518750e-01
-4.006781e-06,-7.381250e-01
-3.998781e-06,-7.468750e-01
-3.990781e-06,-7.275000e-01
-3.982781e-06,-7.546875e-01
-3.974781e-06,-7.453125e-01
-3.966781e-06,-7.543750e-01
-3.958781e-06,-7.387500e-01
-3.950781e-06,-7.475000e-01
-3.942781e-06,-7.246875e-01
-3.934781e-06,-7.556250e-01
-3.926781e-06,-7.384375e-01
-3.918781e-06,-7.528125e-01
-3.910781e-06,-7.418750e-01
-3.902781e-06,-7.543750e-01
-3.894781e-06,-7.296875e-01
-3.886781e-06,-7.537500e-01
-3.878781e-06,-7.381250e-01
-3.870781e-06,-7.450000e-01
-3.862781e-06,-7.393750e-01
