Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.470156
Vertical Units,V

TIME,CH3
-4.995761e-06,-7.287500e-01
-4.987761e-06,-7.384375e-01
-4.979761e-06,-7.262500e-01
-4.971761e-06,-7.618750e-01
-4.963761e-06,-7.375000e-01
-4.955761e-06,-7.490625e-01
-4.947761e-06,-7.371875e-01
-4.939761e-06,-7.487500e-01
-4.931761e-06,-7.106250e-01
-4.923761e-06,-7.459375e-01
-4.915761e-06,-7.431250e-01
-4.907761e-06,-7.440625e-01
-4.899761e-06,-7.393750e-01
-4.891761e-06,-7.528125e-01
-4.883761e-06,-7.268750e-01
-4.875761e-06,-7.431250e-01
-4.867761e-06,-7.331250e-01
-4.859761e-06,-7.475000e-01
-4.851761e-06,-7.271875e-01
-4.843761e-06,-7.518750e-01
-4.835761e-06,-7.175000e-01
-4.827761e-06,-7.425000e-01
-4.819761e-06,-7.300000e-01
-4.811761e-06,-7.456250e-01
-4.803761e-06,-7.137500e-01
-4.795761e-06,-7.456250e-01
-4.787761e-06,-7.362500e-01
-4.779761e-06,-7.503125e-01
-4.771761e-06,-7.312500e-01
-4.763761e-06,-7.553125e-01
-4.755761e-06,-7.209375e-01
-4.747761e-06,-7.415625e-01
-4.739761e-06,-7.287500e-01
-4.731761e-06,-7.468750e-01
-4.723761e-06,-7.331250e-01
-4.715761e-06,-7.500000e-01
-4.707761e-06,-7.281250e-01
-4.699761e-06,-7.646875e-01
-4.691761e-06,-7.287500e-01
-4.683761e-06,-7.484375e-01
-4.675761e-06,-7.306250e-01
-4.667761e-06,-7.462500e-01
-4.659761e-06,-7.350000e-01
-4.651761e-06,-7.506250e-01
-4.643761e-06,-7.312500e-01
-4.635761e-06,-7.509375e-01
-4.627761e-06,-7.221875e-01
-4.619761e-06,-7.475000e-01
-4.611761e-06,-7.240625e-01
-4.603761e-06,-7.487500e-01
-4.595761e-06,-7.325000e-01
-4.587761e-06,-7.562500e-01
-4.579761e-06,-7.268750e-01
-4.571761e-06,-7.496875e-01
-4.563761e-06,-7.315625e-01
-4.555761e-06,-7.434375e-01
-4.547761e-06,-7.256250e-01
-4.539761e-06,-7.446875e-01
-4.531761e-06,-7.475000e-01
-4.523761e-06,-7.431250e-01
-4.515761e-06,-7.253125e-01
-4.507761e-06,-7.581250e-01
-4.499761e-06,-7.253125e-01
-4.491761e-06,-7.356250e-01
-4.483761e-06,-7.234375e-01
-4.475761e-06,-7.412500e-01
-4.467761e-06,-7.262500e-01
-4.459761e-06,-7.584375e-01
-4.451761e-06,-7.312500e-01
-4.443761e-06,-7.571875e-01
-4.435761e-06,-7.312500e-01
-4.427761e-06,-7.615625e-01
-4.419761e-06,-7.084375e-01
-4.411761e-06,-7.475000e-01
-4.403761e-06,-7.293750e-01
-4.395761e-06,-7.534375e-01
-4.387761e-06,-7.428125e-01
-4.379761e-06,-7.531250e-01
-4.371761e-06,-7.375000e-01
-4.363761e-06,-7.471875e-01
-4.355761e-06,-7.284375e-01
-4.347761e-06,-7.512500e-01
-4.339761e-06,-7.300000e-01
-4.331761e-06,-7.528125e-01
-4.323761e-06,-7.309375e-01
-4.315761e-06,-7.565625e-01
-4.307761e-06,-7.325000e-01
-4.299761e-06,-7.443750e-01
-4.291761e-06,-7.256250e-01
-4.283761e-06,-7.512500e-01
-4.275761e-06,-7.243750e-01
-4.267761e-06,-7.490625e-01
-4.259761e-06,-7.309375e-01
-4.251761e-06,-7.509375e-01
-4.243761e-06,-7.350000e-01
-4.235761e-06,-7.468750e-01
-4.227761e-06,-7.275000e-01
-4.219761e-06,-7.325000e-01
-4.211761e-06,-7.143750e-01
-4.203761e-06,-7.462500e-01
-4.195761e-06,-7.287500e-01
-4.187761e-06,-7.493750e-01
-4.179761e-06,-7.256250e-01
-4.171761e-06,-7.337500e-01
-4.163761e-06,-7.262500e-01
-4.155761e-06,-7.493750e-01
-4.147761e-06,-7.384375e-01
-4.139761e-06,-7.431250e-01
-4.131761e-06,-7.281250e-01
-4.123761e-06,-7.459375e-01
-4.115761e-06,-7.318750e-01
-4.107761e-06,-7.409375e-01
-4.099761e-06,-7.356250e-01
-4.091761e-06,-7.518750e-01
-4.083761e-06,-7.275000e-01
-4.075761e-06,-7.468750e-01
-4.067761e-06,-7.328125e-01
-4.059761e-06,-7.453125e-01
-4.051761e-06,-7.275000e-01
-4.043761e-06,-7.575000e-01
-4.035761e-06,-7.059375e-01
-4.027761e-06,-7.462500e-01
-4.019761e-06,-7.415625e-01
-4.011761e-06,-7.562500e-01
-4.003761e-06,-7.381250e-01
-3.995761e-06,-7.546875e-01
-3.987761e-06,-7.253125e-01
-3.979761e-06,-7.581250e-01
-3.971761e-06,-7.234375e-01
-3.963761e-06,-7.371875e-01
-3.955761e-06,-7.209375e-01
-3.947761e-06,-7.568750e-01
-3.939761e-06,-7.243750e-01
-3.931761e-06,-7.515625e-01
-3.923761e-06,-7.346875e-01
-3.915761e-06,-7.418750e-01
-3.907761e-06,-7.159375e-01
-3.899761e-06,-7.434375e-01
-3.891761e-06,-7.437500e-01
-3.883761e-06,-7.396875e-01
-3.875761e-06,-7.468750e-01
-3.867761e-06,-7.471875e-01
-3.859761e-06,-7.256250e-01
