Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.127656
Vertical Units,V

TIME,CH3
-4.993021e-06,-7.278125e-01
-4.985021e-06,-7.537500e-01
-4.977021e-06,-7.268750e-01
-4.969021e-06,-7.375000e-01
-4.961021e-06,-7.318750e-01
-4.953021e-06,-7.465625e-01
-4.945021e-06,-7.493750e-01
-4.937021e-06,-7.618750e-01
-4.929021e-06,-7.293750e-01
-4.921021e-06,-7.365625e-01
-4.913021e-06,-7.278125e-01
-4.905021e-06,-7.518750e-01
-4.897021e-06,-7.325000e-01
-4.889021e-06,-7.503125e-01
-4.881021e-06,-7.284375e-01
-4.873021e-06,-7.559375e-01
-4.865021e-06,-7.384375e-01
-4.857021e-06,-7.637500e-01
-4.849021e-06,-7.262500e-01
-4.841021e-06,-7.543750e-01
-4.833021e-06,-7.368750e-01
-4.825021e-06,-7.456250e-01
-4.817021e-06,-7.431250e-01
-4.809021e-06,-7.459375e-01
-4.801021e-06,-7.303125e-01
-4.793021e-06,-7.515625e-01
-4.785021e-06,-7.256250e-01
-4.777021e-06,-7.359375e-01
-4.769021e-06,-7.390625e-01
-4.761021e-06,-7.543750e-01
-4.753021e-06,-7.493750e-01
-4.745021e-06,-7.500000e-01
-4.737021e-06,-7.315625e-01
-4.729021e-06,-7.512500e-01
-4.721021e-06,-7.240625e-01
-4.713021e-06,-7.506250e-01
-4.705021e-06,-7.368750e-01
-4.697021e-06,-7.496875e-01
-4.689021e-06,-7.437500e-01
-4.681021e-06,-7.581250e-01
-4.673021e-06,-7.240625e-01
-4.665021e-06,-7.418750e-01
-4.657021e-06,-7.256250e-01
-4.649021e-06,-7.296875e-01
-4.641021e-06,-7.256250e-01
-4.633021e-06,-7.446875e-01
-4.625021e-06,-7.350000e-01
-4.617021e-06,-7.481250e-01
-4.609021e-06,-7.346875e-01
-4.601021e-06,-7.490625e-01
-4.593021e-06,-7.312500e-01
-4.585021e-06,-7.368750e-01
-4.577021e-06,-7.500000e-01
-4.569021e-06,-7.390625e-01
-4.561021e-06,-7.431250e-01
-4.553021e-06,-7.546875e-01
-4.545021e-06,-7.284375e-01
-4.537021e-06,-7.471875e-01
-4.529021e-06,-7.343750e-01
-4.521021e-06,-7.387500e-01
-4.513021e-06,-7.331250e-01
-4.505021e-06,-7.578125e-01
-4.497021e-06,-7.356250e-01
-4.489021e-06,-7.550000e-01
-4.481021e-06,-7.265625e-01
-4.473021e-06,-7.400000e-01
-4.465021e-06,-7.275000e-01
-4.457021e-06,-7.512500e-01
-4.449021e-06,-7.484375e-01
-4.441021e-06,-7.393750e-01
-4.433021e-06,-7.343750e-01
-4.425021e-06,-7.568750e-01
-4.417021e-06,-7.262500e-01
-4.409021e-06,-7.362500e-01
-4.401021e-06,-7.334375e-01
-4.393021e-06,-7.503125e-01
-4.385021e-06,-7.206250e-01
-4.377021e-06,-7.550000e-01
-4.369021e-06,-7.393750e-01
-4.361021e-06,-7.537500e-01
-4.353021e-06,-7.331250e-01
-4.345021e-06,-7.343750e-01
-4.337021e-06,-7.215625e-01
-4.329021e-06,-7.493750e-01
-4.321021e-06,-7.418750e-01
-4.313021e-06,-7.487500e-01
-4.305021e-06,-7.418750e-01
-4.297021e-06,-7.484375e-01
-4.289021e-06,-7.353125e-01
-4.281021e-06,-7.525000e-01
-4.273021e-06,-7.240625e-01
-4.265021e-06,-7.421875e-01
-4.257021e-06,-7.362500e-01
-4.249021e-06,-7.384375e-01
-4.241021e-06,-7.287500e-01
-4.233021e-06,-7.600000e-01
-4.225021e-06,-7.346875e-01
-4.217021e-06,-7.462500e-01
-4.209021e-06,-7.343750e-01
-4.201021e-06,-7.512500e-01
-4.193021e-06,-7.306250e-01
-4.185021e-06,-7.528125e-01
-4.177021e-06,-7.428125e-01
-4.169021e-06,-7.631250e-01
-4.161021e-06,-7.228125e-01
-4.153021e-06,-7.521875e-01
-4.145021e-06,-7.428125e-01
-4.137021e-06,-7.434375e-01
-4.129021e-06,-7.275000e-01
-4.121021e-06,-7.356250e-01
-4.113021e-06,-7.471875e-01
-4.105021e-06,-7.575000e-01
-4.097021e-06,-7.331250e-01
-4.089021e-06,-7.337500e-01
-4.081021e-06,-7.265625e-01
-4.073021e-06,-7.493750e-01
-4.065021e-06,-7.431250e-01
-4.057021e-06,-7.450000e-01
-4.049021e-06,-7.393750e-01
-4.041021e-06,-7.506250e-01
-4.033021e-06,-7.225000e-01
-4.025021e-06,-7.346875e-01
-4.017021e-06,-7.256250e-01
-4.009021e-06,-7.309375e-01
-4.001021e-06,-7.296875e-01
-3.993021e-06,-7.468750e-01
-3.985021e-06,-7.365625e-01
-3.977021e-06,-7.531250e-01
-3.969021e-06,-7.237500e-01
-3.961021e-06,-7.425000e-01
-3.953021e-06,-7.225000e-01
-3.945021e-06,-7.440625e-01
-3.937021e-06,-7.468750e-01
-3.929021e-06,-7.403125e-01
-3.921021e-06,-7.346875e-01
-3.913021e-06,-7.603125e-01
-3.905021e-06,-7.253125e-01
-3.897021e-06,-7.418750e-01
-3.889021e-06,-7.215625e-01
-3.881021e-06,-7.421875e-01
-3.873021e-06,-7.237500e-01
-3.865021e-06,-7.525000e-01
-3.857021e-06,-7.425000e-01
