Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.645000
Vertical Units,V

TIME,CH3
-4.997160e-06,-7.556250e-01
-4.989160e-06,-7.565625e-01
-4.981160e-06,-7.496875e-01
-4.973160e-06,-7.315625e-01
-4.965160e-06,-7.440625e-01
-4.957160e-06,-7.506250e-01
-4.949160e-06,-7.556250e-01
-4.941160e-06,-7.421875e-01
-4.933160e-06,-7.525000e-01
-4.925160e-06,-7.312500e-01
-4.917160e-06,-7.506250e-01
-4.909160e-06,-7.365625e-01
-4.901160e-06,-7.443750e-01
-4.893160e-06,-7.318750e-01
-4.885160e-06,-7.615625e-01
-4.877160e-06,-7.243750e-01
-4.869160e-06,-7.596875e-01
-4.861160e-06,-7.428125e-01
-4.853160e-06,-7.431250e-01
-4.845160e-06,-7.240625e-01
-4.837160e-06,-7.562500e-01
-4.829160e-06,-7.362500e-01
-4.821160e-06,-7.446875e-01
-4.813160e-06,-7.281250e-01
-4.805160e-06,-7.525000e-01
-4.797160e-06,-7.212500e-01
-4.789160e-06,-7.465625e-01
-4.781160e-06,-7.068750e-01
-4.773160e-06,-7.462500e-01
-4.765160e-06,-7.318750e-01
-4.757160e-06,-7.462500e-01
-4.749160e-06,-7.362500e-01
-4.741160e-06,-7.553125e-01
-4.733160e-06,-7.296875e-01
-4.725160e-06,-7.425000e-01
-4.717160e-06,-7.256250e-01
-4.709160e-06,-7.606250e-01
-4.701160e-06,-7.521875e-01
-4.693160e-06,-7.487500e-01
-4.685160e-06,-7.375000e-01
-4.677160e-06,-7.643750e-01
-4.669160e-06,-7.296875e-01
-4.661160e-06,-7.434375e-01
-4.653160e-06,-7.334375e-01
-4.645160e-06,-7.418750e-01
-4.637160e-06,-7.262500e-01
-4.629160e-06,-7.512500e-01
-4.621160e-06,-7.290625e-01
-4.613160e-06,-7.656250e-01
-4.605160e-06,-7.237500e-01
-4.597160e-06,-7.475000e-01
-4.589160e-06,-7.300000e-01
-4.581160e-06,-7.500000e-01
-4.573160e-06,-7.331250e-01
-4.565160e-06,-7.453125e-01
-4.557160e-06,-7.340625e-01
-4.549160e-06,-7.678125e-01
-4.541160e-06,-7.534375e-01
-4.533160e-06,-7.496875e-01
-4.525160e-06,-7.387500e-01
-4.517160e-06,-7.506250e-01
-4.509160e-06,-7.256250e-01
-4.501160e-06,-7.521875e-01
-4.493160e-06,-7.343750e-01
-4.485160e-06,-7.612500e-01
-4.477160e-06,-7.268750e-01
-4.469160e-06,-7.378125e-01
-4.461160e-06,-7.256250e-01
-4.453160e-06,-7.431250e-01
-4.445160e-06,-7.359375e-01
-4.437160e-06,-7.493750e-01
-4.429160e-06,-7.550000e-01
-4.421160e-06,-7.537500e-01
-4.413160e-06,-7.371875e-01
-4.405160e-06,-7.468750e-01
-4.397160e-06,-7.315625e-01
-4.389160e-06,-7.437500e-01
-4.381160e-06,-7.350000e-01
-4.373160e-06,-7.593750e-01
-4.365160e-06,-7.300000e-01
-4.357160e-06,-7.496875e-01
-4.349160e-06,-7.315625e-01
-4.341160e-06,-7.475000e-01
-4.333160e-06,-7.309375e-01
-4.325160e-06,-7.450000e-01
-4.317160e-06,-7.365625e-01
-4.309160e-06,-7.525000e-01
-4.301160e-06,-7.459375e-01
-4.293160e-06,-7.578125e-01
-4.285160e-06,-7.250000e-01
-4.277160e-06,-7.462500e-01
-4.269160e-06,-7.281250e-01
-4.261160e-06,-7.375000e-01
-4.253160e-06,-7.359375e-01
-4.245160e-06,-7.434375e-01
-4.237160e-06,-7.343750e-01
-4.229160e-06,-7.603125e-01
-4.221160e-06,-7.318750e-01
-4.213160e-06,-7.496875e-01
-4.205160e-06,-7.150000e-01
-4.197160e-06,-7.509375e-01
-4.189160e-06,-7.475000e-01
-4.181160e-06,-7.512500e-01
-4.173160e-06,-7.437500e-01
-4.165160e-06,-7.618750e-01
-4.157160e-06,-7.318750e-01
-4.149160e-06,-7.506250e-01
-4.141160e-06,-7.268750e-01
-4.133160e-06,-7.475000e-01
-4.125160e-06,-7.315625e-01
-4.117160e-06,-7.456250e-01
-4.109160e-06,-7.231250e-01
-4.101160e-06,-7.578125e-01
-4.093160e-06,-7.284375e-01
-4.085160e-06,-7.503125e-01
-4.077160e-06,-7.287500e-01
-4.069160e-06,-7.437500e-01
-4.061160e-06,-7.318750e-01
-4.053160e-06,-7.371875e-01
-4.045160e-06,-7.412500e-01
-4.037160e-06,-7.400000e-01
-4.029160e-06,-7.250000e-01
-4.021160e-06,-7.487500e-01
-4.013160e-06,-7.296875e-01
-4.005160e-06,-7.478125e-01
-3.997160e-06,-7.312500e-01
-3.989160e-06,-7.628125e-01
-3.981160e-06,-7.378125e-01
-3.973160e-06,-7.562500e-01
-3.965160e-06,-7.256250e-01
-3.957160e-06,-7.343750e-01
-3.949160e-06,-7.243750e-01
-3.941160e-06,-7.437500e-01
-3.933160e-06,-7.346875e-01
-3.925160e-06,-7.575000e-01
-3.917160e-06,-7.350000e-01
-3.909160e-06,-7.481250e-01
-3.901160e-06,-7.346875e-01
-3.893160e-06,-7.487500e-01
-3.885160e-06,-7.243750e-01
-3.877160e-06,-7.481250e-01
-3.869160e-06,-7.465625e-01
-3.861160e-06,-7.496875e-01
