Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.000000e-09
Record Length,1250
Zero Index,624.130000
Vertical Units,V

TIME,CH3
-4.993040e-06,-7.331250e-01
-4.985040e-06,-7.493750e-01
-4.977040e-06,-7.356250e-01
-4.969040e-06,-7.515625e-01
-4.961040e-06,-7.306250e-01
-4.953040e-06,-7.543750e-01
-4.945040e-06,-7.362500e-01
-4.937040e-06,-7.412500e-01
-4.929040e-06,-7.346875e-01
-4.921040e-06,-7.525000e-01
-4.913040e-06,-7.184375e-01
-4.905040e-06,-7.509375e-01
-4.897040e-06,-7.281250e-01
-4.889040e-06,-7.493750e-01
-4.881040e-06,-7.171875e-01
-4.873040e-06,-7.525000e-01
-4.865040e-06,-7.425000e-01
-4.857040e-06,-7.478125e-01
-4.849040e-06,-7.390625e-01
-4.841040e-06,-7.550000e-01
-4.833040e-06,-7.428125e-01
-4.825040e-06,-7.375000e-01
-4.817040e-06,-7.240625e-01
-4.809040e-06,-7.453125e-01
-4.801040e-06,-7.378125e-01
-4.793040e-06,-7.568750e-01
-4.785040e-06,-7.368750e-01
-4.777040e-06,-7.612500e-01
-4.769040e-06,-7.328125e-01
-4.761040e-06,-7.425000e-01
-4.753040e-06,-7.290625e-01
-4.745040e-06,-7.518750e-01
-4.737040e-06,-7.387500e-01
-4.729040e-06,-7.506250e-01
-4.721040e-06,-7.425000e-01
-4.713040e-06,-7.562500e-01
-4.705040e-06,-7.181250e-01
-4.697040e-06,-7.506250e-01
-4.689040e-06,-7.231250e-01
-4.681040e-06,-7.384375e-01
-4.673040e-06,-7.221875e-01
-4.665040e-06,-7.509375e-01
-4.657040e-06,-7.256250e-01
-4.649040e-06,-7.631250e-01
-4.641040e-06,-7.350000e-01
-4.633040e-06,-7.450000e-01
-4.625040e-06,-7.228125e-01
-4.617040e-06,-7.434375e-01
-4.609040e-06,-7.384375e-01
-4.601040e-06,-7.325000e-01
-4.593040e-06,-7.437500e-01
-4.585040e-06,-7.575000e-01
-4.577040e-06,-7.159375e-01
-4.569040e-06,-7.593750e-01
-4.561040e-06,-7.281250e-01
-4.553040e-06,-7.331250e-01
-4.545040e-06,-7.281250e-01
-4.537040e-06,-7.590625e-01
-4.529040e-06,-7.331250e-01
-4.521040e-06,-7.600000e-01
-4.513040e-06,-7.250000e-01
-4.505040e-06,-7.443750e-01
-4.497040e-06,-7.228125e-01
-4.489040e-06,-7.506250e-01
-4.481040e-06,-7.353125e-01
-4.473040e-06,-7.437500e-01
-4.465040e-06,-7.265625e-01
-4.457040e-06,-7.400000e-01
-4.449040e-06,-7.321875e-01
-4.441040e-06,-7.428125e-01
-4.433040e-06,-7.300000e-01
-4.425040e-06,-7.375000e-01
-4.417040e-06,-7.281250e-01
-4.409040e-06,-7.631250e-01
-4.401040e-06,-7.306250e-01
-4.393040e-06,-7.562500e-01
-4.385040e-06,-7.362500e-01
-4.377040e-06,-7.375000e-01
-4.369040e-06,-7.150000e-01
-4.361040e-06,-7.518750e-01
-4.353040e-06,-7.303125e-01
-4.345040e-06,-7.478125e-01
-4.337040e-06,-7.459375e-01
-4.329040e-06,-7.525000e-01
-4.321040e-06,-7.356250e-01
-4.313040e-06,-7.421875e-01
-4.305040e-06,-7.356250e-01
-4.297040e-06,-7.340625e-01
-4.289040e-06,-7.306250e-01
-4.281040e-06,-7.518750e-01
-4.273040e-06,-7.306250e-01
-4.265040e-06,-7.584375e-01
-4.257040e-06,-7.315625e-01
-4.249040e-06,-7.437500e-01
-4.241040e-06,-7.090625e-01
-4.233040e-06,-7.453125e-01
-4.225040e-06,-7.459375e-01
-4.217040e-06,-7.528125e-01
-4.209040e-06,-7.350000e-01
-4.201040e-06,-7.571875e-01
-4.193040e-06,-7.321875e-01
-4.185040e-06,-7.531250e-01
-4.177040e-06,-7.312500e-01
-4.169040e-06,-7.393750e-01
-4.161040e-06,-7.268750e-01
-4.153040e-06,-7.550000e-01
-4.145040e-06,-7.293750e-01
-4.137040e-06,-7.556250e-01
-4.129040e-06,-7.250000e-01
-4.121040e-06,-7.509375e-01
-4.113040e-06,-7.243750e-01
-4.105040e-06,-7.493750e-01
-4.097040e-06,-7.453125e-01
-4.089040e-06,-7.346875e-01
-4.081040e-06,-7.303125e-01
-4.073040e-06,-7.584375e-01
-4.065040e-06,-7.231250e-01
-4.057040e-06,-7.350000e-01
-4.049040e-06,-7.278125e-01
-4.041040e-06,-7.421875e-01
-4.033040e-06,-7.296875e-01
-4.025040e-06,-7.637500e-01
-4.017040e-06,-7.287500e-01
-4.009040e-06,-7.487500e-01
-4.001040e-06,-7.300000e-01
-3.993040e-06,-7.331250e-01
-3.985040e-06,-7.250000e-01
-3.977040e-06,-7.312500e-01
-3.969040e-06,-7.418750e-01
-3.961040e-06,-7.475000e-01
-3.953040e-06,-7.337500e-01
-3.945040e-06,-7.453125e-01
-3.937040e-06,-7.278125e-01
-3.929040e-06,-7.356250e-01
-3.921040e-06,-7.325000e-01
-3.913040e-06,-7.537500e-01
-3.905040e-06,-7.356250e-01
-3.897040e-06,-7.675000e-01
-3.889040e-06,-7.234375e-01
-3.881040e-06,-7.550000e-01
-3.873040e-06,-7.259375e-01
-3.865040e-06,-7.518750e-01
-3.857040e-06,-7.218750e-01
